year,tas
1850,286.7878074362936
1851,287.0890351527748
1852,286.80477852294445
1853,286.7514480438488
1854,286.85354684901955
1855,287.02500106547495
1856,286.9732788362363
1857,286.9588902347893
1858,286.9491064398207
1859,286.96052868914904
1860,286.96358217062703
1861,286.9313173864907
1862,286.7384685199834
1863,286.79662510870213
1864,286.8810150494448
1865,286.7549838473931
1866,286.7590662118267
1867,286.91757634675076
1868,286.921084928837
1869,287.1024712571436
1870,286.67093548561684
1871,286.56648218484935
1872,286.67892607285347
1873,286.9206213863943
1874,286.7851151906193
1875,286.89926405358545
1876,287.06193513690147
1877,286.8002307919225
1878,286.7784749759053
1879,286.7933244127131
1880,286.87247666846764
1881,286.97793432058296
1882,287.03233818031026
1883,286.93741281058817
1884,286.96098854935093
1885,286.97618586385056
1886,287.0367187539241
1887,286.9449821535608
1888,286.8962079986013
1889,286.7484453518104
1890,286.8180089432672
1891,286.9472236582203
1892,286.8380596257791
1893,286.66280815880475
1894,286.76756086869784
1895,286.71622997807754
1896,286.76745716724366
1897,286.7471411618063
1898,286.9043916679215
1899,286.75996579025235
1900,286.683390202977
1901,286.7330044186274
1902,286.7059187886952
1903,286.7849081805509
1904,286.7367738436952
1905,286.85723708721565
1906,286.7041447183828
1907,286.6454789889694
1908,286.84088224077726
1909,286.84730640201093
1910,286.71909348201405
1911,286.76715630438053
1912,286.7787697505218
1913,286.82678167814777
1914,286.9336417680194
1915,286.6163994012404
1916,286.6016459505038
1917,286.67674806941125
1918,286.7220812096945
1919,286.7756976675622
1920,286.72598766616346
1921,286.51265167926545
1922,286.5785056753773
1923,286.5814043777725
1924,286.59802762879633
1925,286.7346156773381
1926,286.8171772616229
1927,286.70925485151656
1928,286.6511683794487
1929,286.5495114358728
1930,286.550520869576
1931,286.6117848677835
1932,286.5930861143442
1933,286.6251653927736
1934,286.6626246921264
1935,286.4952070954307
1936,286.6311275202608
1937,286.8168151457092
1938,286.86882569841964
1939,286.8038630474117
1940,286.783439650387
1941,286.6845703682972
1942,286.62961351376816
1943,286.61764060631185
1944,286.76411695971166
1945,286.53659524615506
1946,286.63713735476205
1947,286.6387454775688
1948,286.66725783677833
1949,286.7881515839673
1950,286.6515773288183
1951,286.8556011964571
1952,286.7545803315268
1953,286.6207930246284
1954,286.6478276703329
1955,286.621761095155
1956,286.70712194542574
1957,286.6922017078507
1958,286.688799135618
1959,286.63957319360225
1960,286.64200329901286
1961,286.5856926766785
1962,286.7413111072735
1963,286.8174320896147
1964,286.83942655703555
1965,286.79366699407655
1966,286.736112268837
1967,286.6720132236125
