year,tas
2015,288.3653888859161
2016,288.46068031624566
2017,288.404400049497
2018,288.45958385728807
2019,288.67381850987266
2020,288.4500634598405
2021,288.6461659888699
2022,288.75852987211044
2023,288.7615954255404
2024,288.5874587803671
2025,288.55247560265946
2026,288.8498298540507
2027,288.8869597134525
2028,288.7858613314694
2029,288.8435934824486
2030,288.8614267845677
2031,288.7942341007598
2032,288.72703104933646
2033,289.10219860338185
2034,288.88592353716285
2035,288.84361563904645
2036,288.9884494729238
2037,289.01851605977095
2038,289.11777327028045
2039,289.221001611997
2040,289.2525863020387
2041,289.114122364619
2042,289.31102294921874
2043,289.4237604846693
2044,289.18704900872217
2045,289.3536524942477
2046,289.4843476595944
2047,289.45213213358846
2048,289.51446600090964
2049,289.5000629581817
2050,289.3526728381849
2051,289.52643892471104
2052,289.6801272039544
2053,289.8115075516374
2054,289.57681960014446
2055,289.5790863455158
2056,289.7539423694349
2057,290.031065305945
2058,289.81421492067096
2059,289.9091669788099
2060,290.04291047396725
2061,290.2490562125428
2062,290.21666318292483
2063,290.08673288005673
2064,290.0878662945473
2065,290.17524480950334
2066,290.43010078325665
2067,290.3183026039437
2068,290.3717379635327
2069,290.5705177620666
2070,290.55083492749355
2071,290.4795794761344
2072,290.3631798313088
2073,290.51691325984586
2074,290.5861173446864
2075,290.8225022407427
2076,290.4784626999946
2077,290.8239362324754
2078,291.08540181199163
2079,291.06438163861833
2080,290.7396684202429
2081,290.8682882230575
2082,291.0528999224101
2083,291.2006477251445
2084,290.8879018287136
2085,291.0803567964737
2086,291.2589052801262
2087,291.1756534942209
2088,291.358145768675
2089,291.53998630471426
2090,291.26529072800724
2091,291.2926063015036
2092,291.46555317917915
2093,291.7140223672945
2094,291.93674533791733
2095,291.5448031490796
2096,291.69554727632703
2097,292.0408887889287
2098,292.17781940616976
2099,291.8218567730629
2100,291.87358599101026
