year,tas
1850,286.1131839942586
1851,286.1876640459375
1852,286.26347777807484
1853,285.98813725909264
1854,286.14834127206035
1855,286.2978915923769
1856,286.17407896927244
1857,286.165434571376
1858,286.3923961679235
1859,285.97530418776273
1860,286.1621106483969
1861,286.20169741552627
1862,286.07121524160436
1863,286.3224745732029
1864,286.25406783698946
1865,286.02069926126205
1866,286.2279451564124
1867,286.2576264222476
1868,286.1628287928825
1869,286.36554883674216
1870,286.53462117439716
1871,286.32661730680917
1872,286.3978608008928
1873,286.681335573194
1874,286.33192332772296
1875,286.4912438413702
1876,286.6988516094952
1877,286.4664955014931
1878,286.6373903801915
1879,286.7359447533732
1880,286.56471733781717
1881,286.8127504807718
1882,286.7024349819387
1883,286.64274239185175
1884,287.02193999175165
1885,286.86561100001074
1886,286.6475853773981
1887,286.8852010492182
1888,287.1086787458278
1889,286.8897958521818
1890,286.9689683552751
1891,287.2815103039085
1892,287.14768801579163
1893,287.0711410316095
1894,287.1589967598221
1895,287.1029162078734
1896,287.03220046491555
1897,287.2072064107387
1898,287.50035478731525
1899,287.41840440418554
1900,287.37957588943436
1901,287.37380645954966
1902,287.5996510327093
1903,287.4099688119293
1904,287.48114843142696
1905,287.6380389554908
1906,287.52803144568514
1907,287.45226744299134
1908,287.7608464917625
1909,287.5911822150839
1910,287.5273658140982
1911,287.55064430543194
1912,287.7398679827207
1913,287.6044712791829
1914,287.7907914623363
1915,287.99896887432214
1916,287.7972327511646
1917,288.0103116434082
1918,288.1615345471861
1919,287.707522710935
1920,287.94043504690194
1921,288.0711528280863
1922,287.8382168180049
1923,288.0962930275563
1924,288.1254617111074
1925,287.957294209954
1926,288.2153070783361
1927,288.3766961184341
1928,287.9980871211835
1929,288.1736252346818
1930,288.60067676215186
1931,288.3153058731897
1932,288.38216603703984
1933,288.65519672583787
1934,288.255038985923
1935,288.4805757475296
1936,288.6271675840139
1937,288.4455747192576
1938,288.6835554372212
1939,288.55665644906856
1940,288.5615565739193
1941,288.71939698162925
1942,288.7471851394314
1943,288.7338660121577
1944,288.59215743060554
1945,288.6992954807665
1946,288.9736106702924
1947,288.8503291415299
1948,288.6935640535358
1949,288.8967988011604
1950,289.0801456713701
1951,288.81578510571717
1952,289.04812248266603
1953,289.199038687914
1954,289.0057849939498
1955,289.281055702953
1956,289.2335366418286
1957,289.07290537665165
1958,289.3848960464546
1959,289.44586594537753
1960,289.2702236283779
1961,289.40664002654785
1962,289.7077471944419
1963,289.6092729286074
1964,289.50440501978215
1965,289.66459254376855
1966,289.7584582213495
1967,289.52633444501924
1968,289.6998598763097
1969,289.95626657502237
1970,289.6378965428505
1971,289.86197589650953
1972,290.027960045707
1973,289.8482433827251
1974,289.930344489495
1975,290.15504080918737
1976,289.97657992932926
1977,290.19317826956075
1978,290.07695453465186
1979,290.29653840509053
1980,290.1661182898872
1981,289.9961688478465
1982,290.3481068467096
1983,290.40209830814433
1984,290.30521616508577
1985,290.4665554474507
1986,290.44436760125
1987,290.54239628171905
1988,290.3778392938244
1989,290.5162520671441
1990,290.62091534049136
1991,290.5306816584841
1992,290.72259953755463
1993,290.58093919440046
1994,290.6793071140839
1995,290.7283594351064
1996,290.68402799574636
1997,290.79996874935046
1998,290.6806241356484
1999,290.91782878779765
