year,tas
2015,288.0415241693276
2016,287.93803098036
2017,288.05360102281657
2018,288.0509094145386
2019,288.1440825524655
2020,288.12307156796453
2021,288.21957817764616
2022,288.1307400260791
2023,288.01647107544915
2024,288.10711414051394
2025,288.16406370954184
2026,288.10578843205974
2027,288.1637744569489
2028,288.2101744521914
2029,288.18169117462577
2030,288.1901127556497
2031,288.228313132083
2032,288.25063791981415
2033,288.16605220181674
2034,288.2827361370558
2035,288.36708022489125
2036,288.3433381047925
2037,288.39277536283646
2038,288.470691797367
2039,288.44578779577733
2040,288.53359970997053
2041,288.3767129905359
2042,288.6325875061276
2043,288.3846275625548
2044,288.3903251338989
2045,288.6795808682275
2046,288.68016263354696
2047,288.57689326472905
2048,288.7034027093061
2049,288.8293605070587
2050,288.71508993620347
2051,288.7985769319492
2052,288.7446746360836
2053,288.8568562502411
2054,288.82844507800513
2055,289.1212227808498
2056,289.0892862768035
2057,289.2261413773031
2058,289.11193195780135
2059,289.34752861150673
2060,289.21203226324724
2061,289.17579494526973
2062,289.12016058017446
2063,289.23019267278517
2064,289.31867226633625
2065,289.5344460471769
2066,289.3077817722305
2067,289.5319296191697
2068,289.79015897634963
2069,289.6162635474632
2070,289.83106488870703
2071,289.8204379862692
2072,289.7043137896398
2073,289.88218324604827
2074,289.8560273633805
2075,289.66747860276143
2076,289.7741288469314
2077,290.0074991808839
2078,290.03750208111904
2079,290.1288055581521
2080,290.0636326326435
2081,290.0093433395484
2082,290.1287003924307
2083,290.1432708192076
2084,290.17336160132055
2085,290.1448236197115
2086,290.2685486621407
2087,290.2147794961812
2088,290.1689539700359
2089,290.27483382655504
2090,290.4306269696573
2091,290.25770465846534
2092,290.4700366681321
2093,290.62996918040625
2094,290.6180526932981
2095,290.54288075349643
2096,290.7372452050207
2097,290.78339383577014
2098,290.71767355970553
2099,290.7571629435423
2100,290.987257473671
