year,tas
1850,286.4853102592573
1851,286.3992751866171
1852,286.60970651286925
1853,286.6553743545323
1854,286.4450227920323
1855,286.3686376284246
1856,286.5941217291845
1857,286.64401253478167
1858,286.4860732823202
1859,286.5336858043932
1860,286.45226666176154
1861,286.3688520039598
1862,286.38327436055215
1863,286.42080178456763
1864,286.55462094659674
1865,286.6390812285959
1866,286.63811076961156
1867,286.60148382317533
1868,286.5269268715218
1869,286.54251834399076
1870,286.58162908684716
1871,286.57983072359264
1872,286.63377735712754
1873,286.52568041657753
1874,286.63643606525574
1875,286.63414774855516
1876,286.53313749130456
1877,286.55236900016047
1878,286.5567948014769
1879,286.7223819262361
1880,286.56991334680004
1881,286.5298232823202
1882,286.44501902959115
1883,286.5462990120666
1884,286.1910325141803
1885,286.24547846545914
1886,286.3382002321008
1887,286.4002831027932
1888,286.62884412791624
1889,286.69387775577906
1890,286.60453767123283
1891,286.6226246454944
1892,286.6190570151969
1893,286.6761538988924
1894,286.6922318131956
1895,286.7314881207192
1896,286.8047140043076
1897,286.76967037671227
1898,286.7167184490047
1899,286.8723638665186
1900,286.92304587168235
1901,286.7006118565389
1902,286.65207945941245
1903,286.5361319764019
1904,286.8211562901327
1905,286.7979110926798
1906,286.72750043477095
1907,286.74168416898544
1908,286.75923938489944
1909,286.9119844619542
1910,286.93057526888913
1911,286.9274118083797
1912,286.5661835970944
1913,286.48138528066136
1914,286.768337720061
1915,286.8314501618686
1916,286.8089346271672
1917,286.74986563904645
1918,286.82801990247754
1919,286.940185128826
1920,286.95167955372426
1921,286.7487238635755
1922,286.81013534754925
1923,286.89458216837005
1924,286.7989165005618
1925,286.7516910082673
1926,286.7081723565925
1927,286.8647109776327
1928,286.96327740394906
1929,286.87738764514665
1930,286.8179111428457
1931,286.9003501578553
1932,286.9749876257492
1933,286.92527934035206
1934,286.8089113836419
1935,286.7980872585348
1936,286.7271245250963
1937,286.69515581522904
1938,286.79199293998823
1939,286.85478039049127
1940,286.87871511799017
1941,286.66969562687285
1942,286.6814565162136
1943,286.80280000869544
1944,286.72759148584646
1945,286.51302548761237
1946,286.6023920764662
1947,286.8005547510434
1948,286.70598897019477
1949,286.6577161815068
1950,286.7493775250161
1951,286.6532721532534
1952,286.67505927935036
1953,286.7922344887093
1954,286.78876326051477
1955,286.72530751685576
1956,286.6661883628532
1957,286.71032790092573
1958,286.8386885133508
1959,286.89406838613013
1960,286.7789528206603
1961,286.70938603649404
1962,286.73047961927443
1963,286.5918299008722
1964,286.29481443640304
1965,286.3985111602366
1966,286.62814615328017
1967,286.7009138551477
1968,286.6874555195847
1969,286.6662571737211
1970,286.60546941887844
1971,286.6273555389822
1972,286.8196237224422
1973,286.8590779343697
1974,286.7187805175781
1975,286.5596361970248
1976,286.7134272327161
1977,286.8380929607235
1978,286.75581372404747
1979,286.6997187366224
1980,286.6505452195259
1981,286.82506471398756
1982,286.91188413019046
1983,286.6537447158604
1984,286.5658780032641
1985,286.6514548941834
1986,286.814150373903
1987,286.8392901694937
1988,286.7805951680222
1989,286.8934214970837
1990,287.15536983960294
1991,287.1540437881261
1992,286.48994951640094
1993,286.57243058714147
1994,286.8171706944296
1995,286.80225804995183
1996,286.8836304547035
1997,286.9652804440015
1998,287.0189914651113
1999,287.0592568593482
2000,287.17232222883666
2001,287.29588439105305
2002,287.2441790018996
2003,287.17635013110015
2004,287.2611364077215
2005,287.1975192135327
2006,287.110226315015
2007,287.1656370398116
2008,287.2492045363335
2009,287.3516517116599
2010,287.2533533383722
2011,287.27256879414597
2012,287.4485666771457
2013,287.5535800045484
2014,287.28619142297197
