year,tas
2015,287.26600308352954
2016,287.485335843857
2017,287.65434536868577
2018,287.5103809931507
2019,287.46809550246144
2020,287.4402420671019
2021,287.6520621521832
2022,287.78299083971
2023,287.5348421279698
2024,287.52603793209545
2025,287.7144878230683
2026,287.7105937800995
2027,287.59687357863334
2028,287.8307725044146
2029,287.89701563168876
2030,287.6217015932685
2031,287.828679918263
2032,287.91662723070954
2033,287.87661392002894
2034,287.7616830486141
2035,287.776162510702
2036,288.04273121454946
2037,288.0468740802922
2038,288.01164617669093
2039,288.07059292727956
2040,288.16305842987475
2041,288.072971291738
2042,288.0478526494274
2043,288.198610321463
2044,288.35116627314324
2045,288.3669823215433
2046,288.11264614993576
2047,288.22618082124893
2048,288.46373625454834
2049,288.5387901828713
2050,288.35201959479343
2051,288.48661741491867
2052,288.5864749438142
2053,288.5701699452858
2054,288.7145942583476
2055,288.80548672610763
2056,288.57827608291416
2057,288.7205390825664
2058,288.7771213479238
2059,288.85699914383565
2060,288.7456529591181
2061,288.9589196610124
2062,289.01184399748496
2063,288.89273146537886
2064,289.20561105388487
2065,289.1483346599422
2066,289.09603664450447
2067,289.2479044875053
2068,289.1403766788848
2069,289.38357769691777
2070,289.32746297757916
2071,289.37037687954836
2072,289.27135193707187
2073,289.43208643247004
2074,289.57038206335613
2075,289.517063506662
2076,289.4625205680116
2077,289.5833909126177
2078,289.85000200663524
2079,289.70842251712327
2080,289.6158926349796
2081,289.89126494943275
2082,290.0070235578981
2083,289.82768914209646
2084,290.02199046513806
2085,290.0375548480308
2086,290.0681983425193
2087,289.9939263330747
2088,290.10575477913636
2089,290.46524449178617
2090,290.2847528327001
2091,290.370420774695
2092,290.39552486889977
2093,290.45521599756523
2094,290.39956639956125
2095,290.52215066152075
2096,290.5587077937714
2097,290.3448322452911
2098,290.6455499518407
2099,290.8390769644959
2100,290.71938802640733
