year,tas
2015,287.83696949635225
2016,287.7272904711863
2017,287.5534475702943
2018,287.8993871681932
2019,288.06270304484923
2020,288.0299831464668
2021,287.9436357830129
2022,287.8797304540539
2023,288.177365196716
2024,288.29715316914314
2025,288.0832557698113
2026,288.27538726579803
2027,288.34024778203377
2028,288.35835598982715
2029,288.0602336861647
2030,288.09915587896427
2031,288.2648360912545
2032,288.3838387188991
2033,288.1877222888441
2034,288.2056659463429
2035,288.39489258597933
2036,288.65158840099815
2037,288.74100089786657
2038,288.5551167677349
2039,288.6212261178145
2040,288.7945766979636
2041,288.78271986829026
2042,288.51656391481873
2043,288.65486999788646
2044,288.90296304324204
2045,288.61881977087506
2046,288.6029278509474
2047,288.90586839164257
2048,289.1569687423231
2049,289.0487098719445
2050,288.73194630220144
2051,288.76628688172804
2052,289.0425408491331
2053,289.0537617079623
2054,289.07484511502616
2055,289.0258653795528
2056,289.0498310263206
2057,288.96089641015584
2058,288.92391571187545
2059,289.2886019010401
2060,289.30580781528977
2061,289.0746022363504
2062,289.2694440724394
2063,289.38690504711747
2064,289.3047826458149
2065,289.14286829243184
2066,289.1927917378209
2067,289.3733802314579
2068,289.37287895605203
2069,289.28346643753264
2070,289.2699155940554
2071,289.52558836073894
2072,289.50953385939977
2073,289.1956758439191
2074,289.236734737813
2075,289.533398021445
2076,289.5335088260091
2077,289.2450235467155
2078,289.3751110834655
2079,289.57002330973626
2080,289.7124468258887
2081,289.35752100394353
2082,289.5106592261961
2083,289.8257828907738
2084,289.8105058542217
2085,289.5936931060098
2086,289.5711753552692
2087,289.7785021790015
2088,289.7563528291581
2089,289.6511304626616
2090,289.7457867162463
2091,289.84679729108564
2092,289.9227538440459
2093,289.5940996733964
2094,289.61296602864866
2095,289.8838658603088
2096,290.01621673692085
2097,289.78185314382836
2098,289.8186898411547
2099,289.9913938117982
2100,289.89901926914547
