year,tas
2015,288.0796427407139
2016,287.9113486883204
2017,288.10665039155566
2018,288.3832747739486
2019,288.64434363647865
2020,288.32320008533804
2021,288.18244369136954
2022,288.40767129378844
2023,288.6863680086323
2024,288.52172213993106
2025,288.44656282004615
2026,288.66143113154146
2027,288.8360834720031
2028,288.7440480847278
2029,288.6237448283685
2030,288.8633418171271
2031,288.9116307272417
2032,288.89709312828427
2033,288.7464666314491
2034,288.78231188464366
2035,288.992759358972
2036,289.12022926130106
2037,288.8232680962125
2038,288.9628096539772
2039,289.19095458102345
2040,289.1284492543996
2041,289.14544511582926
2042,289.3025965492125
2043,289.2852375864801
2044,289.24359723311693
2045,289.29755332718435
2046,289.1702219673868
2047,289.195827677716
2048,289.44225921765127
2049,289.4850617935197
2050,289.0826959179973
2051,289.2278670911777
2052,289.4824863849789
2053,289.6406157247788
2054,289.3344256875012
2055,289.30327906239427
2056,289.5149712597629
2057,289.74590688412394
2058,289.61723545556396
2059,289.5486235417536
2060,289.7701365630343
2061,289.7349318230477
2062,289.46935379239244
2063,289.640404963291
2064,289.77395865364804
2065,289.5986547619691
2066,289.6147954337854
2067,289.9237057182773
2068,290.0903593531395
2069,289.9001861665381
2070,289.74415917890474
2071,289.95121500746245
2072,290.1443171732412
2073,289.9610944894293
2074,290.00456563594287
2075,290.18208990571907
2076,290.00949989823823
2077,290.13222478136186
2078,290.2916905933096
2079,290.1603946471753
2080,290.2237359081111
2081,290.38805529527997
2082,290.2568181561722
2083,290.37821991669455
2084,290.51886846407564
2085,290.5343754875523
2086,290.3516889576782
2087,290.4024335073051
2088,290.610564076013
2089,290.48515700263374
2090,290.59658646206856
2091,290.64791718770823
2092,290.34784715279363
2093,290.45664538237315
2094,290.66110827762975
2095,290.602228938432
2096,290.6332957344109
2097,290.7428242895517
2098,290.5764376161601
2099,290.6901593698876
2100,290.77939608755804
