year,tas
1850,286.1781019802115
1851,286.73196003653464
1852,286.9663396904672
1853,287.3292179657442
1854,287.58668677290893
1855,287.5607498832041
1856,287.6986297395431
1857,287.8569083972767
1858,287.8773391268054
1859,287.7767117028872
1860,288.03026762627536
1861,288.0469609141729
1862,288.10540028771055
1863,288.2884112870696
1864,288.12634429979175
1865,288.03697259164716
1866,288.25768879535747
1867,288.33977858794907
1868,288.05622852176793
1869,288.52046445026417
1870,288.49724357426527
1871,288.2243806393898
1872,288.3094618818919
1873,288.2514160242493
1874,288.43603658457914
1875,288.4717539816658
1876,288.39354352033433
1877,288.59384971914795
1878,288.5494030812566
1879,288.39346289294866
1880,288.5676637028642
1881,288.6017161431516
1882,288.5142342578014
1883,288.4982485466323
1884,288.32814187649836
1885,288.57902692467593
1886,288.61889671542144
1887,288.4886216808917
1888,288.53289955968256
1889,288.6855675631002
1890,288.3837855787918
1891,288.51198037539643
1892,288.64978958627376
1893,288.59415927538095
1894,288.52608271221345
1895,288.5016397892573
1896,288.63136990232545
1897,288.45443089817115
1898,288.39493077470786
1899,288.54946526530284
1900,288.7093936662217
1901,288.56363690727835
1902,288.56523527603764
1903,288.6176512700442
1904,288.5808478897196
1905,288.32198742409565
1906,288.5321661930968
1907,288.67858018850336
1908,288.60360326447193
1909,288.58495908524907
1910,288.5699296750306
1911,288.34603888057876
1912,288.60126874714064
1913,288.6670383730947
1914,288.5774849076453
1915,288.53806691384574
1916,288.4866817289935
1917,288.5624111919842
1918,288.3233056067614
1919,288.47742412387674
1920,288.63018320405814
1921,288.50914152385866
1922,288.6014838981498
1923,288.5860982185636
1924,288.6171444106065
1925,288.629292168295
1926,288.5665925091004
1927,288.57301225530983
1928,288.6568391519622
1929,288.5372171055002
1930,288.41604428884256
1931,288.64488953704495
1932,288.77025234561313
1933,288.64721441385166
1934,288.52160843254467
1935,288.61476802477733
1936,288.74563104042466
1937,288.7703156421064
1938,288.73440657796544
1939,288.6581744256001
1940,288.67455340014834
1941,288.64537225644125
1942,288.5484176401306
1943,288.59998022980227
1944,288.6042904165059
1945,288.44987287115777
1946,288.49433583729507
1947,288.4763329038159
1948,288.568428170929
1949,288.67402126305615
1950,288.56002585182415
1951,288.4239996732127
1952,288.41481289840306
1953,288.6301613855294
1954,288.65130495149015
1955,288.5021633709894
1956,288.6723510901737
1957,288.7467675133555
1958,288.5846737309203
1959,288.6509627480861
1960,288.5938149599484
1961,288.5412459767424
1962,288.6038010078324
1963,288.51620653146983
1964,288.5520621527881
1965,288.51720494259234
1966,288.3894762439424
1967,288.4324448033914
1968,288.6796991528298
1969,288.53703082387926
1970,288.43490057323623
1971,288.6557066894305
1972,288.59515833547187
1973,288.43226447791574
1974,288.60293937765806
1975,288.69405666923245
1976,288.5075242601513
1977,288.65119150956303
1978,288.7546560633117
1979,288.4996361605394
1980,288.64821856690935
1981,288.6460334349655
1982,288.43996648209446
1983,288.5452027916483
1984,288.73301450768054
1985,288.68395328931183
1986,288.47957385932034
1987,288.4240295806499
1988,288.5468003871267
1989,288.4372416439453
1990,288.52058765551317
1991,288.661994310852
1992,288.66102261951943
1993,288.495106080017
1994,288.4779108196723
1995,288.70597629829655
1996,288.6155617685705
1997,288.6567084220956
1998,288.82584637971314
1999,288.643285786654
2000,288.56267797549305
