year,tas
2000,284.96397178336366
2001,284.76413891936005
2002,284.87964452456123
2003,285.0068463051156
2004,285.1415301597281
2005,284.99744588773547
2006,285.06664370184075
2007,284.9729919433594
2008,284.94320093442315
2009,284.86719979064105
2010,284.8418351682898
2011,285.02781045992083
2012,284.97053590539383
2013,284.8483246267659
2014,284.8251824365904
2015,285.16639755458044
2016,285.07258233893407
2017,285.03643790467146
2018,284.98437190643733
2019,284.9535431326252
2020,284.93468795149295
2021,284.97688339442425
2022,285.0590522661601
2023,285.1218428102258
2024,285.0728665286547
2025,284.85904892176796
2026,284.8247738354827
2027,284.99322526487583
2028,284.9797271310467
2029,284.82916268126604
2030,284.8142360739512
2031,284.94035059262626
2032,284.8961823763913
2033,284.85414152798586
2034,284.85436903026005
2035,284.8127014996254
2036,284.7925410022474
2037,284.7629747364619
2038,284.8989439245772
2039,284.8828033865314
2040,284.830463231753
2041,284.88926935065285
2042,284.8077400939105
2043,284.92118831268726
2044,285.010755314239
2045,284.8031418891802
2046,284.9045589081229
2047,284.8742031149668
2048,284.7303438369542
2049,284.8914847596051
2050,284.9782358665989
2051,285.0261764735391
2052,284.9137463713345
2053,284.7735912584278
2054,284.799360552226
2055,284.91168497163954
2056,284.71282122886345
2057,284.98584511116763
2058,285.12332604813247
2059,284.86292457058
2060,284.8031516715272
2061,285.0608155969071
2062,285.02175209358944
2063,284.78109707767015
2064,284.80744804486835
2065,284.8934597903735
2066,284.89652208302124
2067,284.8534942208904
2068,284.8971117829623
2069,284.64057516855735
2070,284.8174432623876
2071,284.927500016722
2072,284.781060205747
2073,284.82767534647905
2074,285.0451079904216
2075,284.9719369548641
2076,284.83640044747966
2077,284.8887181112211
2078,284.9109354097549
2079,284.8361759551584
2080,284.69385593362045
2081,284.6445779878799
2082,284.97887999652175
2083,284.925664029056
2084,284.6942037504013
2085,284.8867536152879
2086,284.9700544801477
2087,284.9691747377997
2088,285.0327110813088
2089,284.9563599468911
2090,285.03322193720567
2091,285.0635304072132
2092,284.89548423453556
2093,284.7472030848673
2094,284.8058030219928
2095,284.8643784614458
2096,284.70777303617297
2097,284.68313949793986
2098,284.8713947452911
2099,284.9838242622271
2100,284.8026616344713
2101,284.6509290721318
2102,284.790419487104
2103,284.9688351983893
2104,284.94541199566567
2105,284.95265979505564
2106,284.9275197486355
2107,284.9534928831335
2108,284.79810983318174
2109,284.76498505056725
2110,284.9372361274615
2111,284.8917350873555
2112,284.8573509738869
2113,285.11058023531143
2114,284.93659960603054
2115,284.89587377260807
2116,284.90314983211147
2117,284.86009655260057
2118,285.01647405755034
2119,284.93104273129813
2120,284.75552669159356
2121,284.90900009364293
2122,285.1004357742936
2123,284.93083044600814
2124,284.8390258789062
2125,284.89980376779215
2126,284.851975616037
2127,284.7994154838667
2128,284.9263063195634
2129,284.99712666550727
2130,284.83147775310357
2131,284.78576944429585
2132,284.8459215974154
2133,284.8670008829195
2134,285.0067441339362
2135,284.8193420410156
2136,284.6566091041042
2137,284.7739931707513
2138,284.82811429794526
2139,284.90681369729236
2140,284.8045046453606
2141,284.98323982970356
2142,284.88093579436
2143,284.8299726930383
2144,284.88548893340646
2145,284.8497718288474
2146,284.8611681794467
2147,284.82712260207086
2148,284.8316807577055
2149,284.54931289463826
2150,284.7584220154645
