year,tas
1850,287.99372744959754
1851,288.8256946962122
1852,289.33030985252094
1853,289.68731464084675
1854,290.0333882339679
1855,290.4396198568893
1856,290.6285813409645
1857,290.7911144454864
1858,291.086169412965
1859,291.20005806489667
1860,291.2031874227785
1861,291.3417372273045
1862,291.4545317093542
1863,291.65949811617895
1864,291.9401046773094
1865,291.7035968980664
1866,291.78767680890707
1867,292.0361476115459
1868,292.2678469201122
1869,292.13174122642357
1870,292.0289097420152
1871,292.29047425959783
1872,292.4086394392893
1873,292.14326132885816
1874,292.31018651334347
1875,292.5583605664595
1876,292.60980430146094
1877,292.5882879137742
1878,292.6344429756229
1879,292.6897031138143
1880,292.7227243979285
1881,292.8368526883881
1882,293.1317542157699
1883,292.8326149424526
1884,292.82600743979793
1885,293.00746939014874
1886,293.25118144442314
1887,293.14096815798865
1888,293.01743064300763
1889,293.06913180335073
1890,293.3257340105434
1891,293.27111943512625
1892,293.26909173390885
1893,293.39376306908554
1894,293.5049410592885
1895,293.43712878469756
1896,293.3662362156965
1897,293.51074173998467
1898,293.60555697488115
1899,293.56974286710215
1900,293.4607117810543
1901,293.45207627705156
1902,293.56523021537606
1903,293.6652231335744
1904,293.677796160255
1905,293.69821372569174
1906,293.69569041910137
1907,293.6306693281682
1908,293.80281220719587
1909,293.8610689902197
1910,293.6465054883778
1911,293.66965148876295
1912,293.9477822138125
1913,293.8168517011546
1914,293.8345823103267
1915,294.1264777793539
1916,294.07866513713026
1917,293.84552663515984
1918,294.08733659322723
1919,294.1920013946936
1920,293.8895405901724
1921,293.9330083365647
1922,294.15749566748235
1923,294.068857006012
1924,294.0467297532046
1925,294.2634109250285
1926,294.2327754076302
1927,294.23953383017215
1928,294.43293651288894
1929,294.0997230794158
1930,294.1036614037733
1931,294.1571164822125
1932,294.2112879120743
1933,294.145029641009
1934,294.07383373002574
1935,294.32689036350536
1936,294.201945856051
1937,294.1068121227006
1938,294.1909528274281
1939,294.3220828268296
1940,294.29019929579175
1941,294.20790400554205
1942,294.2892326185001
1943,294.36822771583377
1944,294.3626131732497
1945,294.29673815788635
1946,294.37096667549014
1947,294.2681782097754
1948,294.2807370193002
1949,294.3038852650868
1950,294.42931333960297
1951,294.4944459130483
1952,294.33133448594845
1953,294.3881177310173
1954,294.46519676980336
1955,294.32597887569165
1956,294.52767812638325
1957,294.61964707154146
1958,294.51990491443297
1959,294.54783952066623
1960,294.56969569317505
1961,294.4746750165909
1962,294.51216580619314
1963,294.63010382381947
1964,294.5140024728863
1965,294.53467741032756
1966,294.7456372374254
1967,294.64294273538763
1968,294.6356127864538
1969,294.7571546123688
1970,294.6238957289421
1971,294.8055083472829
1972,294.57906687913123
1973,294.746488628347
1974,294.7710735226087
1975,294.6443476124124
1976,294.69814314402726
1977,294.7116387000403
1978,294.67275221311473
1979,294.7886059826439
1980,294.72650065137276
1981,294.7469747655135
1982,294.8368025131404
1983,294.61291571565636
1984,294.71141733763085
1985,294.79894372139034
1986,294.75098244157107
1987,294.70972057003365
1988,294.75788395858496
1989,294.78976222009305
1990,294.89255987144213
1991,294.8233435483359
1992,294.9790761796748
1993,294.6787844153155
1994,294.73903767477157
1995,294.86168229601583
1996,294.8298499921268
1997,294.83108915072285
1998,295.0298309369351
1999,295.1024610917836
