year,tas
1850,286.76572826439883
1851,286.80840680094644
1852,286.8883017947404
1853,286.76896544475767
1854,286.6096738399357
1855,286.84632080870824
1856,286.9503061375956
1857,286.9246501859672
1858,286.84422384431406
1859,286.86792778016314
1860,286.88431779283343
1861,286.80750293471806
1862,286.7400604379527
1863,286.7982775604057
1864,286.92694204713615
1865,287.0095835638795
1866,286.9990604142585
1867,286.89940799973067
1868,286.7507308994897
1869,286.7843186343566
1870,286.88600596980933
1871,286.90134284937693
1872,286.8155968069074
1873,286.6663820682951
1874,286.6333483290977
1875,286.76748471083306
1876,286.83021934124105
1877,286.7800350203359
1878,286.7777858237539
1879,286.788183962619
1880,286.8656165897979
1881,286.7726114610502
1882,286.71392071231986
1883,286.7475423968859
1884,286.51959412860305
1885,286.529107157742
1886,286.630352506241
1887,286.65666245565757
1888,286.72041668285436
1889,286.7095610040959
1890,286.75304312686666
1891,286.7950296965548
1892,286.6478884738131
1893,286.71675801777025
1894,286.8227005855207
1895,286.69215105393994
1896,286.81853752358916
1897,286.8600232750646
1898,286.7783294800572
1899,286.7836974398752
1900,286.762155881202
1901,286.79627537052505
1902,286.65927986953733
1903,286.49680217404256
1904,286.68206943160203
1905,286.64648469119714
1906,286.6782149021458
1907,286.78438721141055
1908,286.6221753147506
1909,286.45279216644775
1910,286.4791288560376
1911,286.6281277729012
1912,286.566284030025
1913,286.68507364518894
1914,286.77605246043964
1915,286.7481788015252
1916,286.68907126665937
1917,286.70980259619415
1918,286.8019719714217
1919,286.9287172417587
1920,286.8496918541295
1921,286.823184439825
1922,286.8027402463363
1923,286.90376072798966
1924,286.92902625779493
1925,286.8297227248859
1926,286.8958560815115
1927,286.83432856718457
1928,286.9231156923847
1929,286.8397537580072
1930,286.69505008826087
1931,286.6316066573225
1932,286.70333876554685
1933,286.6888790944204
1934,286.7744299309604
1935,286.9075677549383
1936,286.6881009788353
1937,286.7482830748983
1938,286.85980355023435
1939,286.8723776749824
1940,286.91386951998965
1941,287.03851594028725
1942,286.8418166107106
1943,286.683372197245
1944,286.76425739640604
1945,286.69919002192165
1946,286.8265462435525
1947,286.87839973202506
1948,286.7850505093693
1949,286.9224838721944
1950,286.73661389299673
1951,286.75011591020984
1952,286.87461491040546
1953,287.04298541003675
1954,286.8830390429269
1955,286.75172386942194
1956,286.92412704983735
1957,286.94581864361464
1958,286.8613456036865
1959,286.87562262996835
1960,286.9242901470893
1961,286.9037990934885
1962,286.7886831496395
1963,286.57502854227783
1964,286.54785629296947
1965,286.50663943473876
1966,286.56743464199604
1967,286.630639556685
1968,286.77148971845725
1969,286.84227037765265
1970,286.6888374097076
1971,286.7593119127051
1972,286.8656755962711
1973,286.87705485159296
1974,286.77377587682264
1975,286.7265316740749
1976,286.60922901100696
1977,286.7814000962406
1978,286.7081158981056
1979,286.7692229701497
1980,286.7844607665425
1981,286.66215730656796
1982,286.764956359715
1983,286.6696088627906
1984,286.8511350423751
1985,286.77195911293416
1986,286.8391403202102
1987,286.8456863093808
1988,286.8297286348664
1989,287.00135595052785
1990,287.11426972715236
1991,287.1297649881206
1992,286.9074880837205
1993,286.8248719220315
1994,286.84797892290027
1995,286.96267989178335
1996,287.0552575579282
1997,287.1109958647039
1998,287.12645396210985
1999,287.1256309729615
2000,287.2466518674365
2001,287.48617095346737
2002,287.5157627679614
2003,287.48130889656176
2004,287.58162131416685
2005,287.59316529459846
2006,287.7739264810503
2007,287.6522159710704
2008,287.60504344329996
2009,287.64561155655724
2010,287.8343130787723
2011,287.9943937101836
2012,287.9078636490513
2013,287.89744692613687
2014,288.015802861185
