year,tas
1850,287.34194381816894
1851,287.2503496747666
1852,287.2043388856959
1853,287.1398074980538
1854,287.28558326728114
1855,287.2707057052028
1856,287.24112324893224
1857,287.26038286979866
1858,287.3505607533609
1859,287.32590630272216
1860,287.30805752602413
1861,287.4186341775316
1862,287.2973306123055
1863,287.4372323162453
1864,287.54132132292233
1865,287.4093096278846
1866,287.4005903705289
1867,287.60031121183187
1868,287.66382124837446
1869,287.5653266836963
1870,287.5389614312491
1871,287.72098512292314
1872,287.34693682459516
1873,287.4478330610078
1874,287.6721097663334
1875,287.69810120584845
1876,287.66343750644967
1877,287.87290835153277
1878,287.76299199310245
1879,287.59738189496767
1880,287.80210866256436
1881,287.89042056157814
1882,287.82481395691536
1883,288.0832756369925
1884,287.9104887441682
1885,287.99042313318665
1886,288.00944322894446
1887,287.9025127696894
1888,288.05119862841025
1889,288.2428623776272
1890,288.074761723897
1891,288.18754057187346
1892,288.28997300682727
1893,288.2900595961594
1894,288.27419406728376
1895,288.2160040304659
1896,288.33669193969797
1897,288.39732682044956
1898,288.41761414865107
1899,288.5473761529013
1900,288.4431053093255
1901,288.3346894556384
1902,288.40521289185523
1903,288.45116085720275
1904,288.3828261360688
1905,288.3714849744286
1906,288.52642453612555
1907,288.45767401121253
1908,288.5665195804772
1909,288.4702103078009
1910,288.64113405030395
1911,288.62499081991484
1912,288.56301892886535
1913,288.770224305742
1914,288.7780942158889
1915,288.76736272521504
1916,288.6451819660385
1917,288.7661173548362
1918,288.69977100924064
1919,288.8640117785228
1920,288.80129307300933
1921,289.10214409951533
1922,289.0835907487949
1923,289.0015499023758
1924,289.1702086122178
1925,289.026682160366
1926,289.09500155012915
1927,289.2166561364664
1928,289.17762420779684
1929,289.0747741934608
1930,289.17039973999897
1931,289.02817137475563
1932,289.0875649115332
1933,288.8995547735608
1934,289.09253838095486
1935,289.0589394390561
1936,289.18290847714286
1937,289.2636274302035
1938,289.14203467133234
1939,289.1567271472153
1940,289.2339445936946
1941,289.17018649436017
1942,289.3938318969733
1943,289.2575177491594
1944,289.57602547733865
1945,289.5466613863001
1946,289.6134624163451
1947,289.6144697193937
1948,289.6402335051974
1949,289.474921861799
1950,289.6311227230096
1951,289.40210325518683
1952,289.72240624997613
1953,289.7363373659655
1954,289.7058585971691
1955,289.7400482671288
1956,289.8379103212671
1957,289.58106539689743
1958,289.6521935791795
1959,289.867814640922
1960,289.7238662378194
1961,289.9469410773888
1962,289.9495799318683
1963,289.8975002336404
1964,289.8076705447291
1965,289.85669089562566
1966,290.00866610937595
1967,289.84035598716156
1968,290.10808718004216
1969,290.15457579032767
1970,290.21873090969854
1971,290.10154595158673
1972,290.30257124563025
1973,290.36525094176756
1974,290.2581308858249
1975,290.461123468629
1976,290.3960279445142
1977,290.3489451408535
1978,290.49564978303744
1979,290.32895101026304
1980,290.55940206813455
1981,290.52235172275095
1982,290.4849269300382
1983,290.4099204699794
1984,290.54466408438867
1985,290.53268117388484
1986,290.71776591763387
1987,290.59344033805957
1988,290.75138240927845
1989,290.6313406306063
1990,290.8375454281319
