year,tas
1926,287.11987704753227
1927,287.16359047356457
1928,287.2039532640341
1929,287.09221030873067
1930,287.24514591097426
1931,287.24068199068114
1932,287.0771341790584
1933,287.1576694417168
1934,287.11809971065566
1935,287.1175503580483
1936,287.16310663011893
1937,287.2628591562456
1938,287.1701881653054
1939,287.3668225227283
1940,287.31890166064176
1941,287.2226628655794
1942,287.11224346403696
1943,287.22474776907023
1944,287.36193265528755
1945,287.2403117986156
1946,287.27426727500483
1947,287.24004670697394
1948,287.33813386867376
1949,287.1417035167851
1950,287.2330576710605
1951,287.2215082606729
1952,287.0525113052324
1953,287.12728119244383
1954,287.21797735986695
1955,287.01738668112483
1956,287.18195501335424
1957,287.2916045669318
1958,287.16591221582945
1959,287.0859304329206
1960,287.03669353775973
1961,287.15600568974713
1962,287.10415560139046
1963,287.1909908104474
1964,287.2177719676069
1965,287.2420028103243
1966,287.09883303152236
1967,287.11813528478166
1968,287.2221718337746
1969,287.14715984483985
1970,287.18820721876284
1971,287.24311114815526
1972,287.2126096953324
1973,287.22336555960374
1974,287.25663105634067
1975,287.228353606368
1976,287.17836302565814
1977,287.0133962169326
1978,287.1301219671764
1979,287.2206562759378
1980,287.09345479615445
1981,287.08830156693824
1982,287.29696278873956
1983,287.1900267561093
1984,287.1723761966157
1985,287.21245255995655
1986,287.12814613241477
1987,287.31439289881365
1988,287.1189729676226
1989,287.1219727860026
1990,287.2387721703558
1991,287.2406831651631
1992,287.2617553248013
1993,287.3291110706075
1994,287.34021165460865
1995,287.22522563310537
1996,287.28390580054133
1997,287.01948982483714
1998,287.05957546825744
1999,287.10527258010455
2000,287.2651162303423
2001,287.2457076761324
2002,287.08518949215
2003,287.2505727280169
2004,287.29560121125786
2005,287.2861956799576
2006,287.29047246623696
2007,287.28231640922894
2008,287.2263549976297
2009,287.0501940663279
2010,287.3233109193443
2011,287.2490950337998
2012,287.07672583677675
2013,287.24995980152
2014,287.28741986307784
2015,287.2597845656027
2016,287.0858644577186
2017,287.2199325120363
2018,287.2814306163178
2019,287.25891566919955
2020,287.0917142445497
2021,287.257833233408
2022,287.2539821462639
2023,287.06658633058
2024,287.09941356108294
2025,287.08770536732305
2026,287.1571874624843
2027,287.155579005526
2028,287.07850522762516
2029,287.109286910915
2030,287.0865735581644
2031,287.0487481891317
2032,287.1915397826101
2033,287.2098105418153
2034,287.23882733815213
2035,287.3209172888953
2036,287.2039411412944
2037,287.25357641895783
2038,287.09096621616374
2039,287.1580854091777
2040,287.15246577880566
2041,287.08614429999915
2042,287.29309615172457
2043,287.3589767503484
2044,287.1696762153671
2045,287.1972030745937
2046,287.17040591007856
2047,287.3064215200427
2048,287.37272746121164
2049,287.36815923155984
2050,287.2446624198631
2051,287.235018415004
2052,287.08753594859326
2053,287.2236387070849
2054,287.2830985996629
2055,287.08878037773417
2056,287.0367363512699
2057,287.15773087550207
2058,287.19864997859116
2059,287.14578739240295
2060,287.20271647581944
2061,287.0662577618586
2062,287.0802418347068
2063,287.1079924141379
2064,287.16239701065183
2065,287.298609339816
2066,287.16318651651727
2067,287.156642285848
2068,287.2466866559496
2069,287.14591156627466
2070,287.17715145949757
2071,287.1026520374077
2072,287.36557317895546
2073,287.2803836592035
2074,287.191045970937
2075,287.21548202587434
2076,287.2403236188579
2077,287.00151748233253
2078,287.1189295742834
2079,287.2309582215458
2080,287.14322074566917
2081,287.19835656975613
2082,287.1949705540679
2083,287.1699787496717
2084,287.05638510966634
2085,287.16913310603746
2086,287.2932765667761
2087,287.42839229574787
2088,287.1556751399321
2089,287.22038089429316
2090,287.34177540092725
2091,287.1364255957087
2092,287.08157250083747
2093,287.0284384750563
2094,287.10198761683944
2095,287.2599507990083
2096,287.1667287972147
2097,287.297421373985
2098,287.24766120171427
2099,287.1466733312494
2100,287.32984677238045
2101,287.27972439678956
2102,287.25890423679476
2103,287.4200728213132
2104,287.283530509115
2105,287.220129036213
2106,287.22390193459114
2107,287.32623189090083
2108,287.24046726948256
2109,287.1858366088361
2110,287.20731927235306
2111,287.18613186864445
2112,287.0049725727336
2113,286.9718559292708
2114,287.25607360027965
2115,287.1888900833543
2116,287.3711054408112
2117,287.13109318604336
2118,286.931953150315
2119,287.3394519012408
2120,287.2179458490329
2121,287.33432228594984
2122,287.2206721887105
2123,287.1132108885199
2124,287.29441793784775
2125,287.1387111609198
