year,tas
2015,287.35843589469175
2016,287.38977443747325
2017,287.51542701198633
2018,287.55633871000106
2019,287.565260294039
2020,287.50621588720037
2021,287.55282617856375
2022,287.5788346800086
2023,287.5685813590272
2024,287.6043311550193
2025,287.64584785356914
2026,287.73344007518193
2027,287.91432277731695
2028,287.8572675313035
2029,287.86014563155504
2030,287.8358586559557
2031,287.83782382076737
2032,287.8368420744595
2033,287.9679888163527
2034,287.91378207272044
2035,288.02222958917486
2036,288.0720591923962
2037,288.03506954663425
2038,288.07779106244647
2039,288.0715475004013
2040,288.0562656350331
2041,288.0946971318493
2042,288.0512939453125
2043,288.23913273223457
2044,288.19141611595677
2045,288.2673544687768
2046,288.341617699192
2047,288.3827232883401
2048,288.37598709733516
2049,288.34642467760057
2050,288.3297063958155
2051,288.45975283270013
2052,288.49777572840856
2053,288.4488915012307
2054,288.5043085803724
2055,288.53143226937067
2056,288.65151450797305
2057,288.68971047597387
2058,288.7149121428189
2059,288.7274664891909
2060,288.7403724147849
2061,288.7991562934771
2062,288.85145782052655
2063,288.9009310787671
2064,288.9011131809182
2065,288.909662032454
2066,288.94902276862155
2067,289.06259615127357
2068,289.153901149802
2069,289.1192091850384
2070,289.18262446155285
2071,289.2513817356057
2072,289.1765980341663
2073,289.2196959613121
2074,289.2247055262735
2075,289.2519690108626
2076,289.2613143293825
2077,289.2839485063945
2078,289.37587539463823
2079,289.3879703887521
2080,289.3971105288153
2081,289.40906898812074
2082,289.4999691479827
2083,289.49309299416745
2084,289.4995852117669
2085,289.5974567570098
2086,289.5765691051745
2087,289.5106030607877
2088,289.65555286146184
2089,289.6752684710777
2090,289.76385339188255
2091,289.7824846659621
2092,289.8426551296286
2093,289.83126471532535
2094,289.85454185172296
2095,289.78917838318705
2096,289.94589375535105
2097,289.9118304526969
2098,289.94450549818066
2099,290.01970850278246
2100,290.1004922109107
