year,tas
1850,287.18023790333365
1851,287.7133567496522
1852,288.0224858532213
1853,288.07546269665033
1854,288.355920493766
1855,288.417872765946
1856,288.5211943325931
1857,288.6844749137147
1858,288.670521357288
1859,288.74829327308964
1860,288.8432843770066
1861,288.8528008447935
1862,288.9164857629227
1863,289.0313984910103
1864,289.0142371608786
1865,289.10127521671654
1866,289.14018111555544
1867,289.13336373943173
1868,289.1035370291096
1869,289.031699653521
1870,289.05356085790345
1871,289.08641298895014
1872,289.05397664945417
1873,289.17620916497214
1874,289.15844517537994
1875,289.12539154470784
1876,289.2698240515304
1877,289.131492886478
1878,289.2022533678029
1879,289.2839505966395
1880,289.4257573375963
1881,289.3140144243632
1882,289.2614689239084
1883,289.24452054794517
1884,289.27081984428514
1885,289.2892902531036
1886,289.32737803001925
1887,289.292056316219
1888,289.24472731498815
1889,289.4349372759257
1890,289.4485929306239
1891,289.372693623582
1892,289.4080911714737
1893,289.38269578071487
1894,289.41743523584654
1895,289.34114404965754
1896,289.22913943774074
1897,289.32443814212326
1898,289.3715884692049
1899,289.3397595549283
1900,289.353330512896
1901,289.3585278654752
1902,289.2955006220569
1903,289.25378392885807
1904,289.2774492655714
1905,289.4123099549176
1906,289.4288270715165
1907,289.42212256862695
1908,289.3500996628852
1909,289.445735398384
1910,289.5007276561162
1911,289.5878931332941
1912,289.5724873581978
1913,289.5016387521404
1914,289.46374971572664
1915,289.39783843576095
1916,289.4152768487799
1917,289.4551119869702
1918,289.4075304841342
1919,289.37747535183
1920,289.3738117374786
1921,289.36987513712006
1922,289.39592987478596
1923,289.4680138992936
1924,289.53338522715114
1925,289.51531338626387
1926,289.50925585603056
1927,289.53820817503214
1928,289.56445053309614
1929,289.5845479050728
1930,289.5334606431935
1931,289.4262739625696
1932,289.50435749210726
1933,289.51640708609807
1934,289.5445500622057
1935,289.59657224890304
1936,289.62566570125216
1937,289.66224933781035
1938,289.5233719499144
1939,289.5377199773919
1940,289.5355075783926
1941,289.6051300466877
1942,289.48498108746253
1943,289.4783983204463
1944,289.5808319509846
1945,289.57427033724855
1946,289.5519286273277
1947,289.5190979840004
1948,289.4558077877515
1949,289.4659916289865
1950,289.48465342064424
1951,289.4794829068118
1952,289.3936555209225
1953,289.4879045042273
1954,289.6030153039383
1955,289.5505874424765
1956,289.44597410437177
1957,289.5902986709386
1958,289.6831955165079
1959,289.6394869033604
1960,289.6933278541042
1961,289.6886085823791
1962,289.57230216248394
1963,289.5797079007919
1964,289.82628533350277
1965,289.8381782427226
1966,289.7869187446489
1967,289.7788361013752
1968,289.6878162122752
1969,289.82166112612373
1970,289.75219015879173
1971,289.796131541631
1972,289.87148780300186
1973,289.8440041738014
1974,289.77403004267444
1975,289.8352005631956
1976,289.8057652303617
1977,289.6954623287671
1978,289.70620819509844
1979,289.7555610552226
1980,289.7643403353756
1981,289.7838272721801
1982,289.84028713278576
1983,289.78543742976774
1984,289.7555185814426
1985,289.7376286754869
1986,289.73056439961465
1987,289.6953951900952
1988,289.69152447426154
1989,289.740425841449
1990,289.76341828646724
1991,289.660439436403
1992,289.5981037296661
1993,289.7364039590914
1994,289.80505245679046
1995,289.75601447118476
1996,289.73524220087756
1997,289.78286684637203
1998,289.7661266588185
1999,289.6772521972656
