year,tas
1850,285.63678195901116
1851,285.4986416751391
1852,285.6332620699112
1853,285.8408286734803
1854,285.8501239097281
1855,285.7726600960509
1856,285.78033990729347
1857,285.70213940764125
1858,285.6815035885328
1859,285.61357956977736
1860,285.43472198068275
1861,285.59632819188784
1862,285.5874706529591
1863,285.89180732622543
1864,285.82758947921127
1865,285.79059414798263
1866,285.6178517798855
1867,285.8133944576734
1868,285.7866276989244
1869,285.60628871133883
1870,285.4333230214576
1871,285.4689643755351
1872,285.46077103288206
1873,285.6773156571062
1874,285.72311317757385
1875,285.7831472736516
1876,285.79937091984164
1877,285.62474114404966
1878,285.64514519678403
1879,285.58401430730953
1880,285.8951334914116
1881,285.8221785035852
1882,285.52441180503524
1883,285.51283535892014
1884,285.5222929654056
1885,285.6001479057416
1886,285.6296809784354
1887,285.55932784407105
1888,285.67822951225384
1889,285.3864052132385
1890,285.3606769718536
1891,285.4656898812072
1892,285.5266551396618
1893,285.46901771858944
1894,285.4381529089523
1895,285.57315941379494
1896,285.64871951586576
1897,285.4188101990582
1898,285.433386982957
1899,285.62241779484157
1900,285.3136004722282
1901,285.28617528628
1902,285.4111909213131
1903,285.5351228896886
1904,285.4966642196864
1905,285.4898148210081
1906,285.56832032922193
1907,285.5877308466663
1908,285.50373903039383
1909,285.40092781798484
1910,285.431365047089
1911,285.5570477211312
1912,285.6534660443868
1913,285.4999216576145
1914,285.45792462074587
1915,285.5870945760648
1916,285.4248580305544
1917,285.32596000775897
1918,285.38403144731916
1919,285.36077981191136
1920,285.4405239157481
1921,285.5646355615903
1922,285.657866428323
1923,285.5160311764233
1924,285.3379268280447
1925,285.31363918356703
1926,285.3262314887896
1927,285.62203962770224
1928,285.5256428757759
1929,285.4312015063142
1930,285.40568906183114
1931,285.5926321369328
1932,285.4395870679046
1933,285.6128756588452
1934,285.3860058928189
1935,285.2232421038902
1936,285.398524955854
1937,285.41713457499463
1938,285.2752995739244
1939,285.28767148370616
1940,285.4320199626766
1941,285.40648577964464
1942,285.2383004802547
1943,285.19329992843
1944,285.2710809577001
1945,285.3133046607449
1946,285.32216002581873
1947,285.3136594171393
1948,285.334526166524
1949,285.35599632785744
1950,285.3403641374144
1951,285.28763168543986
1952,285.3335864759471
1953,285.59626924697665
1954,285.51208696757277
1955,285.3534066814266
1956,285.45444018220246
1957,285.48538450476235
1958,285.5482802299604
1959,285.64082583074696
1960,285.3943471412136
1961,285.29946656945634
1962,285.3938420543932
1963,285.55217577790563
1964,285.61360774628105
1965,285.7050373234161
1966,285.57763245465003
1967,285.4193018247003
1968,285.4170710315443
1969,285.41745145614834
1970,285.57105244675734
1971,285.65918696155285
1972,285.68372961593
1973,285.4761605876766
1974,285.4066675473566
1975,285.58321207124897
1976,285.61342790159455
1977,285.4682147300407
1978,285.4562913032427
1979,285.41952489565494
1980,285.53900614699273
1981,285.557567523277
1982,285.3692656216556
1983,285.38515767136664
1984,285.3716553570473
1985,285.4258174530448
1986,285.2966380498181
1987,285.36974805021936
1988,285.563699466235
1989,285.686837225091
1990,285.5580868237639
1991,285.520517594847
1992,285.7654810239191
1993,285.5703777992562
1994,285.50781066058437
1995,285.3321181205854
1996,285.46309764287247
1997,285.3666090037725
1998,285.40264750441463
1999,285.38021039570845
2000,285.38605513899296
2001,285.3010605067424
2002,285.36403390544734
2003,285.6126764166845
2004,285.6205228622645
2005,285.59290069162023
2006,285.6568947988013
2007,285.8381897808754
2008,285.4799016247057
2009,285.4941688851135
2010,285.4830599850171
2011,285.6108710302065
2012,285.6319356839951
2013,285.63676958476026
2014,285.6099663721372
2015,285.66884949566565
2016,285.3655546005458
2017,285.3040939540079
2018,285.38948472950557
2019,285.6527535216449
2020,285.6596139568172
2021,285.5517553042059
2022,285.6336723432149
2023,285.66492476789915
2024,285.6366154918932
2025,285.6927539564159
2026,285.70280268420913
2027,285.7931285283336
2028,285.535244123903
2029,285.5528191553403
2030,285.51297925139124
2031,285.53818668731276
2032,285.59729764755457
2033,285.6710435005083
2034,285.7090722489031
2035,285.47787216395545
2036,285.7155433132224
2037,285.83011223779965
2038,285.7370684898063
2039,285.6955750347817
2040,285.6938712342145
2041,285.57415136049866
2042,285.4584941707245
2043,285.46290901915665
2044,285.6128055938303
2045,285.63581459358943
2046,285.62729751377896
2047,285.7075048159246
2048,285.86778280179794
2049,285.64022852231375
2050,285.31363182590434
2051,285.4504695526541
2052,285.6195293269745
2053,285.6792937814373
2054,285.7255109395066
2055,285.743093579436
2056,285.68248675620725
2057,285.62502065162136
2058,285.5683625521725
2059,285.5771169166042
2060,285.54950686938145
2061,285.39052224355197
2062,285.49119781076087
2063,285.64880571757277
2064,285.61910617776107
2065,285.4809517638324
2066,285.41596286721426
2067,285.48697242214257
2068,285.6191660423801
2069,285.45822001418026
2070,285.46697120143943
2071,285.44482196128536
2072,285.54826308995075
2073,285.4699754688838
2074,285.71085188356165
2075,285.6410071804099
2076,285.64982140946057
2077,285.5642988649133
2078,285.5279202395922
2079,285.52253409607766
2080,285.55398576292276
2081,285.6830216917273
2082,285.5366237692637
2083,285.710993518568
2084,285.8340776835402
2085,285.48164890237047
2086,285.58557906477415
2087,285.57089350452156
2088,285.482656233278
2089,285.46540886865904
2090,285.55260946195415
2091,285.53964283564324
2092,285.45415097589364
2093,285.39269108184396
2094,285.4922505417915
2095,285.67788771537886
2096,285.5383113495291
2097,285.47154632986405
2098,285.2661317590165
2099,285.33701422704405
2100,285.51588970863656
2101,285.51103733010484
2102,285.3535513263859
2103,285.39267218602845
2104,285.521852508963
2105,285.5907790092573
2106,285.57251478221315
2107,285.47035137855846
2108,285.4813867856379
2109,285.61900902316995
2110,285.8348466428992
2111,285.63868433286063
2112,285.5691200569884
2113,285.63278382183756
2114,285.50110958569667
2115,285.3713584586365
2116,285.28002361140835
2117,285.43725962181617
2118,285.513248558567
2119,285.58424272929153
2120,285.64454354064105
2121,285.5799716897207
2122,285.46611746174017
2123,285.5265516307256
2124,285.5008979692851
2125,285.4340851248127
2126,285.6218605355041
2127,285.68604895186746
2128,285.6557433245933
2129,285.6177952596586
2130,285.43455049697667
2131,285.4576197794039
2132,285.55642307229243
2133,285.4098812573576
2134,285.5444149487639
2135,285.4704195205479
2136,285.5610236180972
2137,285.68831511197027
2138,285.6011953693547
2139,285.48388287269904
2140,285.4087854672785
2141,285.4901518521243
2142,285.46401567851024
2143,285.53873767591506
2144,285.4853765618311
2145,285.5516636678617
2146,285.44765608278044
2147,285.5065276681561
2148,285.57784741545373
2149,285.59391270467677
2150,285.58669492120606
2151,285.49482212850495
2152,285.41066250735764
2153,285.4353590037725
2154,285.58579477806614
2155,285.50604064105306
2156,285.5713028581175
2157,285.70423609067313
2158,285.6425348987317
2159,285.5344541784835
2160,285.54984657601136
2161,285.48346507451305
2162,285.59241625642125
2163,285.6095500789276
2164,285.78643096505783
2165,285.54317233987047
2166,285.3913294962008
2167,285.5568171252943
2168,285.61047329837334
2169,285.6734044741278
2170,285.7208615655768
2171,285.39906749986625
2172,285.33831410865264
2173,285.4430002708957
2174,285.3846190570152
2175,285.38239821342574
2176,285.62382252314325
2177,285.6660155413902
2178,285.52535601054154
2179,285.4573237170911
2180,285.53744465031036
2181,285.4679086345516
2182,285.42451456148325
2183,285.3773573783979
2184,285.4990492729291
2185,285.4970198121789
2186,285.5897466790186
2187,285.6024434964951
2188,285.4884799905019
2189,285.5306303677494
2190,285.32957195125215
2191,285.29549677600596
2192,285.60990257785744
2193,285.64124245839577
2194,285.6036233144264
2195,285.51573511411067
2196,285.60066820954626
2197,285.6277463312019
2198,285.7213171553938
2199,285.4572612605683
2200,285.49391563101995
2201,285.5828249578606
2202,285.6765196917808
2203,285.6463485926798
2204,285.69986597348566
2205,285.7760715432363
2206,285.77349017417595
2207,285.57290306613874
2208,285.5123551042113
2209,285.562147166631
2210,285.623925363201
2211,285.6111173446864
2212,285.74527989217677
2213,285.62552523678295
2214,285.678960596372
2215,285.72718739966825
2216,285.5967070279056
2217,285.7123894678403
2218,285.68544963679904
2219,285.5897461773598
2220,285.47801923359907
2221,285.3622286025792
2222,285.47250274240156
2223,285.67366725973886
2224,285.6605865896565
2225,285.6285616940015
2226,285.46728866786174
2227,285.4182008508134
2228,285.5382881060039
2229,285.53919343295166
2230,285.5605710382331
2231,285.73278883842573
2232,285.7482486254549
2233,285.5353605087489
2234,285.64709882344283
2235,285.7471805938303
2236,285.76163923707725
2237,285.68780341997535
2238,285.49162204690174
2239,285.46604948697023
2240,285.5525363869863
2241,285.40898019450987
