year,tas
1850,286.70298576538465
1851,286.6554018443895
1852,286.70679292529223
1853,286.83853848823577
1854,286.88224623509194
1855,287.08754478678384
1856,287.0420427743915
1857,286.86765834999744
1858,286.8924018991849
1859,287.0628424979858
1860,287.11493288143004
1861,287.0141815586906
1862,287.0675996253293
1863,287.2050316041604
1864,287.2717134536765
1865,287.25341536954943
1866,287.29393594038083
1867,287.293574659476
1868,287.3147270147442
1869,287.39570137587185
1870,287.4322023073854
1871,287.4011080999306
1872,287.3318708073758
1873,287.2806752815572
1874,287.3175693706932
1875,287.4016503684535
1876,287.4874518527084
1877,287.60105493131414
1878,287.4762798147451
1879,287.55875834235485
1880,287.57474222529106
1881,287.54960878563656
1882,287.6528170092923
1883,287.82221810874046
1884,287.87060715215773
1885,287.81731320785013
1886,287.7662787808349
1887,287.8430723850164
1888,287.8283883592324
1889,288.0380488515191
1890,287.9690413550844
1891,288.0103414819591
1892,288.1086183443512
1893,288.11736528815993
1894,288.0646189668382
1895,288.13169766998794
1896,288.2604167670499
1897,288.37643756746274
1898,288.2424228730302
1899,288.2008068746819
1900,288.31092036336315
1901,288.43255018978317
1902,288.4800790474394
1903,288.43114251904785
1904,288.50912033078305
1905,288.5425445406438
1906,288.5880263379995
1907,288.53130132103524
1908,288.67952038255066
1909,288.74120265541876
1910,288.5810269769681
1911,288.60743699583077
1912,288.7073194370127
1913,288.7017609335252
1914,288.78166929805445
1915,288.75968385786746
1916,288.93787806397063
1917,288.9604428472984
1918,288.9622755337286
1919,289.03208804694117
1920,288.96191698304887
1921,289.05718333176014
1922,289.1033586120059
1923,289.0302757272241
1924,289.0831916588751
1925,289.2619057162311
1926,289.24493075754754
1927,289.2571238219028
1928,289.29615299175924
1929,289.3164713697951
1930,289.3265538636129
1931,289.3701842323703
1932,289.3986941970619
1933,289.4264708802946
1934,289.53821519948167
1935,289.6252181557011
1936,289.60515052405856
1937,289.6827135836629
1938,289.5756225084172
1939,289.6755393570212
1940,289.74290418416973
1941,289.88867335605426
1942,289.7910307622
1943,289.83896339914025
1944,289.8904204657741
1945,289.9845038549419
1946,289.9895165542842
1947,290.0728550067592
1948,290.0970196097896
1949,290.20440936263054
1950,290.2081302124689
1951,290.2185871489763
1952,290.20469613666927
1953,290.36709281501885
1954,290.24574497450897
1955,290.29887535668485
1956,290.35032756271687
1957,290.4563449679473
1958,290.49867733381103
1959,290.5808341256457
1960,290.5922463902863
1961,290.6376862846676
1962,290.7223344027665
1963,290.6790609125287
1964,290.77204189583875
1965,290.85641269255206
1966,290.652885342584
1967,290.67027202403636
1968,290.9072202646196
1969,290.9321383672841
1970,290.9959773202107
1971,291.02702253782894
1972,291.1496144906071
1973,291.05493361268987
1974,291.2342630031991
1975,291.12662223197594
1976,291.2780765611831
1977,291.35826173729293
1978,291.4570980992867
1979,291.558726888415
1980,291.5525980986321
1981,291.4880435992763
1982,291.6127538235803
1983,291.81272560410673
1984,291.71540636007296
1985,291.92400320650927
1986,291.84100553419836
1987,291.830425673406
1988,291.8698762241221
1989,292.03229080422653
1990,292.00775010461143
1991,292.17829894768
1992,292.23759841369275
1993,292.18922060366805
1994,292.20790226243884
1995,292.3406354490173
1996,292.30486724178587
1997,292.44822159368977
1998,292.3562227599855
1999,292.56154835999837
2000,292.6718300306903
