year,tas
2000,286.1991724037177
2001,286.15723673932473
2002,286.3049000743706
2003,286.40960180861947
2004,286.41927817337006
2005,286.3530027164533
2006,286.31917397339834
2007,286.34763894696056
2008,286.25164089427585
2009,286.2462607075036
2010,286.18886334931693
2011,286.321697985519
2012,286.30881096281456
2013,286.34904916128414
2014,286.3599435456855
2015,286.1949137654381
2016,286.3285779987292
2017,286.37103918494455
2018,286.25799025968666
2019,286.18154262456187
2020,286.30858462481814
2021,286.31792483101464
2022,286.48348569989497
2023,286.4006402143938
2024,286.4150943717037
2025,286.31566523601634
2026,286.406556540088
2027,286.47794625439496
2028,286.3186761604724
2029,286.2893585926889
2030,286.39610483843285
2031,286.4881669559556
2032,286.4470600656888
2033,286.50552641358405
2034,286.408373520629
2035,286.34280799953353
2036,286.3249071562386
2037,286.4390151511726
2038,286.4196115814363
2039,286.44539124654136
2040,286.4923916729144
2041,286.3828295670016
2042,286.4387443631917
2043,286.43087274891053
2044,286.32848832549683
2045,286.34503915390644
2046,286.43743979676833
2047,286.3792978307917
2048,286.3483103287694
2049,286.37443786049323
2050,286.4864365515581
2051,286.4097876366852
2052,286.41583578091655
2053,286.38993368020374
2054,286.257298122389
2055,286.36912580217773
2056,286.290975171918
2057,286.2769186477768
2058,286.32127854182113
2059,286.3263853856158
2060,286.3250307084396
2061,286.2766824737231
2062,286.26584230534223
2063,286.30032094614637
2064,286.3111432631366
2065,286.3482176392569
2066,286.4496834022802
2067,286.37493133381315
2068,286.4855246155232
2069,286.5272364896654
2070,286.5290026339682
2071,286.5040078951677
2072,286.4936449892889
2073,286.4226956400124
2074,286.4163805704463
2075,286.56078714712805
2076,286.4474687412115
2077,286.44965516809674
2078,286.4074990535574
2079,286.56548836348867
2080,286.543022765824
2081,286.477130997985
2082,286.55591075468976
2083,286.51544945062875
2084,286.5167136236768
2085,286.4190333693192
2086,286.4735078762567
2087,286.56406373249473
2088,286.52426916865915
2089,286.462641964319
2090,286.373156764785
2091,286.4988127793336
2092,286.5872274459568
2093,286.6390307073236
2094,286.37503100353115
2095,286.32094696103076
2096,286.36422860313206
2097,286.38900914324546
2098,286.6305209889791
2099,286.6503826314689
2100,286.6464462679736
2101,286.61590992854985
2102,286.6274948232372
2103,286.5731764641378
2104,286.6370451068423
2105,286.5388834318826
2106,286.69337380546415
2107,286.6545671965894
2108,286.51538403642394
2109,286.5947053917052
2110,286.57133689551176
2111,286.5154733467749
2112,286.735375523616
2113,286.5984938143024
2114,286.61689222435876
2115,286.54387972330204
2116,286.67840435660116
2117,286.61476857449975
2118,286.5080067188291
2119,286.65608500487383
2120,286.56435220157874
2121,286.54100566834995
2122,286.4887273547858
2123,286.6523215835506
2124,286.56164719653765
2125,286.5109260117991
2126,286.59370067427693
2127,286.5639686655758
2128,286.5017607057231
2129,286.53065363179934
2130,286.73176828675844
2131,286.77615992560214
2132,286.618042468149
2133,286.664980301943
2134,286.7282236634759
2135,286.78411806304433
2136,286.91606770026647
2137,286.6291635398074
2138,286.6948560402329
2139,286.73847237534653
2140,286.69885095868517
2141,286.74245418796994
2142,286.73843490855006
2143,286.5937224299006
2144,286.65651024427217
2145,286.69750371063105
2146,286.75284043956896
2147,286.63797316111294
2148,286.62420157876494
2149,286.68600725552545
2150,286.6726786304121
2151,286.55985111287066
2152,286.7207336213526
2153,286.9172280991551
2154,287.0511324690349
2155,286.9053162236342
2156,286.8786906693453
2157,286.83166239115087
2158,286.75699002000704
2159,286.73346521599444
2160,286.7374367651432
2161,286.7621310498334
2162,286.6655866731749
2163,286.8203737351163
2164,286.80118911054876
2165,286.8511053402478
2166,286.709123481936
2167,286.83639043352144
2168,286.91272103254016
2169,286.9264061975239
2170,286.82229786403997
2171,286.81692142027003
2172,286.8213235091305
2173,286.916018292203
2174,287.0037777422239
2175,287.0429497268502
2176,286.976144252432
2177,286.840465547762
2178,286.8541965797257
2179,286.90503506131694
2180,286.75506967747936
2181,286.7936195552449
2182,286.9468623077473
2183,286.8035133404507
2184,286.8881121815243
2185,286.9167921598543
2186,287.00649488641795
2187,286.89848757231186
2188,286.9161590548589
2189,286.94929215522984
2190,286.9633170585413
2191,286.7991160847833
2192,286.80400183842545
2193,286.8664576394833
2194,286.8317024424771
2195,286.8051637487124
2196,286.7520475814783
2197,286.8152775928318
2198,286.913692348473
2199,286.8902858551254
2200,286.90036747703044
2201,286.90809642520776
2202,286.8288539308641
2203,286.83461470365364
2204,286.8880733000952
2205,286.9661434337337
2206,286.95144032418466
2207,286.92353008855304
2208,286.8622392979534
2209,286.9282907429629
2210,286.9226257203189
2211,286.8460813402956
2212,286.8883216495755
2213,286.9367279515872
2214,286.989569719693
2215,286.86438681808966
2216,286.9048170319993
2217,286.9741890212582
2218,286.9032357988117
2219,286.9711723954041
2220,286.91267331179904
2221,286.9818602435066
2222,286.86310742315607
2223,286.8159523351558
2224,286.73448797759306
2225,286.91354279498205
2226,286.86239869828205
2227,286.9291126922784
2228,287.01148962896906
2229,286.9424639516774
2230,287.00311559258625
2231,287.06348117551687
2232,286.9810361027055
2233,286.9517095879774
2234,286.97124799658957
2235,286.97719961270724
2236,287.01368834154147
2237,286.9986875324911
2238,286.9177436470832
2239,287.07098480049893
2240,287.14749814840536
2241,286.99009554863073
2242,286.96842025070777
2243,286.8992250265782
2244,286.9553417952866
2245,287.12659164543027
2246,286.9886017564058
2247,286.94941907290666
2248,287.06701052621037
2249,287.03246745271304
2250,287.0494083328795
2251,287.10706481258774
2252,287.1869456180092
2253,287.02195245927476
2254,287.09741508839954
2255,287.00569895534795
2256,287.1801491936361
2257,287.20715670710194
2258,287.2134191477989
2259,287.17626175657364
2260,287.1816911106187
2261,287.1122774688826
2262,287.0706269775824
2263,286.9870741456905
2264,287.0413047179728
2265,287.1533688376424
2266,287.0448641133898
2267,286.9956191112448
2268,287.0866808976717
2269,287.233375194882
2270,287.2049844180614
2271,287.17349529050273
2272,287.1637669104485
2273,287.2277847423026
2274,287.18609507811925
2275,287.0796816546146
2276,287.1601294542587
2277,287.10892964414575
2278,287.0961010145661
2279,287.14459176012843
2280,287.165841495608
2281,287.1714004070599
2282,287.2021037152468
2283,287.19481177991395
2284,287.3364527478076
2285,287.3345805333531
2286,287.2614712724629
2287,287.1057320416736
2288,287.16355995105255
2289,287.19518480738907
2290,287.06899298035273
2291,287.10944631265136
2292,287.15678579910497
2293,287.1938623240734
2294,287.2903885171707
2295,287.2503954308461
2296,287.2970878300287
2297,287.1258143024752
2298,287.13845732532786
2299,287.20361630095977
2300,287.16466095066727
2301,287.25745599531183
2302,287.3396416137689
2303,287.24336141529636
2304,287.2697433159675
2305,287.3487855765171
2306,287.4176648922885
2307,287.443457479512
2308,287.38148029644447
2309,287.2918183891478
2310,287.2378456883038
2311,287.3702234018339
2312,287.25987748348666
2313,287.2910886590264
2314,287.32589890944223
2315,287.35430045470326
2316,287.29236411945675
2317,287.35224165431435
2318,287.35526227051986
2319,287.2353775322482
2320,287.2051948380174
2321,287.31719443734306
2322,287.2596031777826
2323,287.30824431849254
2324,287.3950060940024
2325,287.3446218817035
2326,287.3521408946433
2327,287.3887160756755
2328,287.4592026687352
2329,287.4885340728826
2330,287.39551199355486
2331,287.4676962541568
2332,287.329911670031
