year,tas
2015,288.3713366743154
2016,288.3598408762132
2017,288.2937215055461
2018,288.4491238701674
2019,288.608586810315
2020,288.51298869957753
2021,288.6047515514281
2022,288.6282195000284
2023,288.6772627126984
2024,288.8143291317714
2025,289.0255450435253
2026,289.0405404266371
2027,288.9434441119998
2028,289.0597399309216
2029,289.03377055422084
2030,289.07955620023796
2031,289.2230143740186
2032,289.2792635950605
2033,289.28931084024657
2034,289.29983295089556
2035,289.32972776139076
2036,289.3730910011967
2037,289.5749763420994
2038,289.4905302080108
2039,289.57955167240004
2040,289.6055319892719
2041,289.66030303401516
2042,289.70120760537793
2043,289.77529452733603
2044,289.75055692316306
2045,289.9220543910169
2046,289.91904910546964
2047,289.9007022993755
2048,290.0342084245419
2049,290.0727943039972
2050,289.98140195840983
2051,290.19819786489256
2052,290.21211085041443
2053,290.2195447128579
2054,290.379446415987
2055,290.555067731938
2056,290.5714430901808
2057,290.5411321816131
2058,290.44828017645
2059,290.5133129835788
2060,290.57234952150475
2061,290.5436989645872
2062,290.6882047802673
2063,290.7184069289907
2064,290.8148165894887
2065,290.7658580050493
2066,290.88376355789217
2067,290.9604928985596
2068,291.00430764843986
2069,291.16835292552094
2070,291.1471090985388
2071,291.3234954671325
2072,291.45781306953165
2073,291.26937577817074
2074,291.4313002479068
2075,291.5051629130375
2076,291.4860592483139
2077,291.5407245855452
2078,291.69142676488775
2079,291.8449305003586
2080,291.89336945040895
2081,291.89860236508656
2082,292.00928589169075
2083,292.15555920927324
2084,292.09769421834807
2085,292.25565214956055
2086,292.30974181933146
2087,292.2411340310028
2088,292.3222871398932
2089,292.38360354891046
2090,292.4620393385337
2091,292.6816777996648
2092,292.49825807727916
2093,292.5672685923917
2094,292.77326392014646
2095,292.8026521083938
2096,292.79174065881085
2097,292.87540630333825
2098,292.9512797159985
2099,293.0681781008598
2100,293.0440683567887
