year,tas
1850,287.3147073861222
1851,287.7394904124519
1852,287.97513117791686
1853,288.4006265920721
1854,288.69430604973275
1855,288.7147193747649
1856,288.88001445524526
1857,289.1569114286372
1858,289.10691403344083
1859,289.2675835876372
1860,289.3066691427575
1861,289.4138044185219
1862,289.4303956143575
1863,289.32164875257575
1864,289.4325463013753
1865,289.3623860341772
1866,289.3894253749493
1867,289.4995934560525
1868,289.6427050430045
1869,289.69067742894305
1870,289.6091938958512
1871,289.7461695964115
1872,289.86418364235675
1873,289.7974788068893
1874,289.7102106488132
1875,289.95432674135867
1876,289.93007779795124
1877,289.8686671958111
1878,289.9221919334865
1879,289.8936581878946
1880,289.98964691053516
1881,289.95174791956174
1882,289.8595939628553
1883,289.9824796201585
1884,289.9556085386
1885,290.0879928506056
1886,289.9834921854995
1887,289.8705603132756
1888,289.95208179174705
1889,289.7819137439908
1890,290.01245502084805
1891,289.9774117214024
1892,289.92069778038274
1893,289.9421857455567
1894,289.89573396786227
1895,289.8358877481257
1896,289.75818209229396
1897,289.8696678786681
1898,289.9101718814993
1899,289.9405958881938
1900,289.9755644783325
1901,290.12278179645415
1902,289.96749793116754
1903,289.8759721492128
1904,289.90958194184066
1905,290.1484114600182
1906,290.1378672508866
1907,290.04122159118174
1908,290.14779980675604
1909,289.83267367168946
1910,290.07980389659303
1911,290.0576841814341
1912,289.97205875986026
1913,290.13707819855637
1914,289.9610245513262
1915,289.9714730728412
1916,290.12788737339883
1917,289.97782208619213
1918,290.0347857634455
1919,290.13775788887125
1920,290.2493369374002
1921,290.2988542692668
1922,290.15653200745174
1923,290.25322809649845
1924,290.2981174666336
1925,290.26360517124886
1926,290.3338843508497
1927,290.1325099757773
1928,290.2793538909381
1929,290.16732493459494
1930,290.1687324359231
1931,290.2166240429242
1932,290.15246442279044
1933,290.34049287344425
1934,290.4486118750041
1935,290.17780562703007
1936,290.2792428179991
1937,290.5224025273168
1938,290.362876865321
1939,290.52216252792664
1940,290.5182752275805
1941,290.5181010420876
1942,290.49541988747393
1943,290.3894115801725
1944,290.3654895946316
1945,290.41152956056345
1946,290.41387609004937
1947,290.6340738324952
1948,290.4228764285244
1949,290.4919646684769
1950,290.5200916719579
1951,290.57393547679226
1952,290.53560873817526
1953,290.4621395257553
1954,290.6423868394906
1955,290.5828473991508
1956,290.5415330603205
1957,290.4239151730588
1958,290.62329006557394
1959,290.6794050615766
1960,290.4361907777023
1961,290.4352259799427
1962,290.6869457837787
1963,290.63647435892045
1964,290.5510587851793
1965,290.7433966831003
1966,290.61046685905137
1967,290.6711043123534
1968,290.79667328480275
1969,290.71717135590666
1970,290.7807505307759
1971,290.9498671682967
1972,290.69582832208573
1973,290.7340251767458
1974,290.72984878507526
1975,290.8623835382869
1976,290.78722285519063
1977,290.7201544391805
1978,290.7680942546722
1979,290.8015545592212
1980,290.7356194367401
1981,290.80154721682385
1982,290.803919873551
1983,290.72481045568725
1984,290.85726440739495
1985,290.85000965123214
1986,290.98524010777334
1987,290.94000725016247
1988,290.9204949080896
1989,290.9374994189423
1990,290.8036282039811
1991,291.0222145372843
1992,290.83680236197006
1993,290.9885449601791
1994,291.0849657539491
1995,290.98008943822833
1996,291.0404432476526
1997,290.9101325555495
1998,290.8865144717204
1999,290.98131499395885
2000,290.94477532718764
