year,tas
1850,286.4074730561537
1851,286.3324482704376
1852,286.2632655753723
1853,286.1562213182216
1854,285.99559414649923
1855,286.20433193629736
1856,286.12056909769564
1857,285.7199025552851
1858,285.8557939583413
1859,285.8105241445438
1860,285.94130479793057
1861,285.95934950577106
1862,285.9127350972714
1863,285.76551487132343
1864,285.88009930931565
1865,286.0324615201149
1866,285.68936003305896
1867,285.97748978134234
1868,286.0620870917666
1869,285.8911019369219
1870,285.96479654004276
1871,286.0446582704035
1872,285.8468756603642
1873,286.14890108815376
1874,285.9351137757028
1875,285.8947955994124
1876,286.01447822849894
1877,285.76498287301536
1878,285.98657519916895
1879,286.0475315487482
1880,286.00388175301447
1881,285.84914575472493
1882,285.9773355669279
1883,286.06186106239966
1884,285.6142989484904
1885,285.46813157821595
1886,285.68681351821795
1887,285.77081187555973
1888,285.7872637333456
1889,285.7107580527499
1890,285.6776609355761
1891,285.6641139315397
1892,285.8130428278579
1893,285.62807264454597
1894,285.8532796184206
1895,285.8317170545693
1896,285.9729436154855
1897,286.0095751555946
1898,285.9149350400567
1899,285.99527401714107
1900,286.07241939802526
1901,286.12585800718676
1902,285.85643132519965
1903,285.7515706876595
1904,285.82045745206096
1905,286.0442867445422
1906,286.14608122019183
1907,286.0451911200155
1908,286.16763512465593
1909,286.3427564799379
1910,286.084072184032
1911,285.9988615057632
1912,286.073018940207
1913,286.00191758931044
1914,286.00550106855763
1915,286.1079885094248
1916,286.130497862736
1917,286.0637543250954
1918,286.03828939379537
1919,286.11043768581897
1920,286.29559630066706
1921,286.0593122512088
1922,286.0553073366986
1923,286.23864254474427
1924,286.23780648094305
1925,286.21194318650856
1926,286.2361586178362
1927,286.28962757801764
1928,286.0557813936557
1929,286.04820070600016
1930,286.20019576170245
1931,286.09609454068595
1932,286.22162531712854
1933,286.14693367767967
1934,286.04967511626813
1935,285.9390677158528
1936,286.16014737157866
1937,286.0778705443028
1938,286.0546618473996
1939,286.18525178217084
1940,286.42920971450883
1941,286.20535963007285
1942,286.2167110487822
1943,286.2809091344123
1944,286.13580372755956
1945,286.2704800907627
1946,286.235881950844
1947,286.2562315881531
1948,286.34812212679617
1949,286.2562807892637
1950,286.2305687967433
1951,286.1877572107111
1952,286.01991826457424
1953,286.1961320405054
1954,286.25199261349076
1955,286.2763592382162
1956,286.1165071815881
1957,286.2160202682051
1958,286.246000348366
1959,286.18832362841727
1960,286.3724041107617
1961,286.33551306961203
1962,286.02334431031363
1963,286.30984051858763
1964,286.03872824794587
1965,285.7735118286844
1966,286.12167535917683
1967,286.31695368210023
1968,286.1731185315483
1969,286.16425490405345
1970,286.2341390597162
1971,286.34561941529205
1972,286.4001890743838
1973,286.4071090125087
1974,286.3932183823032
1975,286.4867321929247
1976,286.48303474428786
1977,286.457660939754
1978,286.4926609419975
1979,286.58280545999355
1980,286.4412892687892
1981,286.56811543839933
1982,286.5524663922072
1983,286.4355574320133
1984,286.35549007950976
1985,286.5406407120414
1986,286.54417781114665
1987,286.69717096175634
1988,286.8866135724776
1989,286.75485389435215
1990,286.85497083946024
1991,286.9552609889142
1992,286.3221451168068
1993,286.6132124566033
1994,286.50387091605853
1995,286.6944962680016
1996,286.78044665748274
1997,286.69874604122515
1998,286.84082836718073
1999,286.84411676624694
2000,286.8931467748975
2001,286.98025812171494
2002,286.8263044768861
2003,287.0626253278594
2004,287.09790600228644
2005,287.1186713998956
2006,287.00707598158857
2007,286.9944056699931
2008,287.250692913142
2009,287.2419452597764
2010,287.1587229846965
2011,287.3310682073952
2012,287.4103339320443
2013,287.3672154055624
2014,287.41848784776374
