year,tas
2015,287.37828235676767
2016,287.4462395293609
2017,287.54204645542853
2018,287.28173588243544
2019,287.29788669725644
2020,287.4335492646285
2021,287.5562446390975
2022,287.5758940124768
2023,287.5631094569685
2024,287.60485958003846
2025,287.6614576234405
2026,287.6436620142412
2027,287.6224154847676
2028,287.4387029937366
2029,287.62960045070326
2030,287.79235584344184
2031,287.7550792565669
2032,287.7881576767577
2033,287.74172921810316
2034,287.83453624336175
2035,287.81963749895976
2036,287.8301394592113
2037,287.9357058762032
2038,287.8259167274713
2039,287.943237453139
2040,287.94496452890667
2041,288.0423722912963
2042,288.1922214227468
2043,288.02687227797094
2044,288.114306659294
2045,288.13887556705527
2046,288.1726154162123
2047,288.3832324101252
2048,288.3489385948461
2049,288.14408625515955
2050,288.28326421373885
2051,288.475486514241
2052,288.45834822836713
2053,288.46744683283407
2054,288.41997120702
2055,288.5459271590042
2056,288.7191043882158
2057,288.6108724943568
2058,288.66744603049744
2059,288.6869225850541
2060,288.71619851850687
2061,288.86911116172337
2062,288.7588663828943
2063,288.78585272115663
2064,288.946455743806
2065,288.798339531074
2066,289.0598447302233
2067,289.2474462586995
2068,289.135997901771
2069,289.34195440845036
2070,289.13148386452696
2071,289.124667189902
2072,289.3339010746028
2073,289.3059175076869
2074,289.36648860649996
2075,289.19268012251956
2076,289.4085874058806
2077,289.4941232702692
2078,289.3963430357758
2079,289.538586654367
2080,289.37581071615625
2081,289.49267913158485
2082,289.58577042668327
2083,289.5357546547575
2084,289.5764111877768
2085,289.64910735061534
2086,289.4638684859268
2087,289.69607136523877
2088,289.71213783216086
2089,289.63173668924065
2090,289.82716676156747
2091,289.82353985051964
2092,289.8413245896628
2093,289.92809029827333
2094,290.0562004393153
2095,290.06172965465714
2096,289.8811948785253
2097,289.9520365626377
2098,290.1346647847201
2099,290.0085221833422
2100,290.03823601257216
