year,tas
1850,288.6751165816054
1851,289.345975298247
1852,290.048398853551
1853,290.4258520303122
1854,290.35122901802526
1855,290.31754375399595
1856,290.4924386470507
1857,290.77849484470755
1858,290.9166918905661
1859,290.6366155395118
1860,290.65307383125815
1861,290.8584428761853
1862,291.25940837567157
1863,291.1422905689084
1864,290.86329004637383
1865,290.8533436190207
1866,291.19694047596107
1867,291.4321518328453
1868,291.1636721878914
1869,291.1594823631966
1870,291.4489015481297
1871,291.5045352277156
1872,291.0938276737992
1873,291.1689545691214
1874,291.28988424336274
1875,291.5543576823378
1876,291.3237001402361
1877,291.1648600207984
1878,291.24693537509137
1879,291.39847922448286
1880,291.62731078482966
1881,291.3999432913597
1882,291.43782974611787
1883,291.39728230456774
1884,291.22572293035876
1885,291.1983357550101
1886,291.47065394156095
1887,291.4066835899547
1888,291.11606472150027
1889,291.2037481405544
1890,291.3521431179746
1891,291.62180494766426
1892,291.5941150763704
1893,291.2504404636493
1894,291.27275508691486
1895,291.5132772627498
1896,291.68349564289343
1897,291.4041584982316
1898,291.3935064873057
1899,291.43691978706653
1900,291.6652890020981
1901,291.5119100887072
1902,291.35327087400685
1903,291.3950437071213
1904,291.6012057400919
1905,291.38046152304
1906,291.3727549695856
1907,291.50513589559193
1908,291.6787408904596
1909,291.4036265650831
1910,291.42208663731725
1911,291.4978321501879
1912,291.5667189676335
1913,291.73300403760106
1914,291.22230189496617
1915,291.2194208196396
1916,291.5316277354625
1917,291.78091877165883
1918,291.55736027241704
1919,291.414392148139
1920,291.44634770026505
1921,291.70498292022995
1922,291.78636519533984
1923,291.39477120492535
1924,291.43297613216055
1925,291.63577855429526
1926,291.7530931150548
1927,291.48594546139896
1928,291.4503083829642
1929,291.68225683615856
1930,291.66997696890456
1931,291.33257019303574
1932,291.4712912921118
1933,291.61900409850415
1934,291.7018690532143
1935,291.4173415834366
1936,291.45741556614024
1937,291.7344503348271
1938,291.9019363041129
1939,291.5108806359642
1940,291.4343777006488
1941,291.6817410347073
1942,291.7905003662695
1943,291.46952653778885
1944,291.50669081356807
1945,291.837438893804
1946,291.83964143409173
1947,291.3927396424647
1948,291.4621670156006
1949,291.6948944571294
1950,291.87805965870655
1951,291.574181451151
1952,291.74651563353973
1953,291.9571638678012
1954,291.62463060411005
1955,291.4519828712511
1956,291.7512015352384
1957,291.84149374856565
1958,291.491870087866
1959,291.5216909904972
1960,291.7345104550974
1961,291.8890503102796
1962,291.79758305790017
1963,291.5733382681064
1964,291.71828441423474
1965,291.82936331935
1966,291.9195050133199
1967,291.88901203197366
1968,291.75550173074214
1969,291.3898155857598
1970,291.4686473626813
1971,291.7539823400674
1972,291.88536139837726
1973,291.67865245733356
1974,291.68093628990385
1975,291.91075124488634
1976,291.92536145864153
1977,291.5203845831074
1978,291.50284268323526
1979,291.69280998415036
1980,291.877090684403
1981,291.5692477331348
1982,291.4228771828004
1983,291.62011398989176
1984,291.9223105292283
1985,291.88207499917763
1986,291.7026665895468
1987,291.753374174708
1988,291.9486593155337
1989,291.8925428070304
