year,tas
1850,289.04544895119864
1851,289.84205372431506
1852,290.29089113000316
1853,290.2609083201787
1854,290.4175189292594
1855,290.75589925687603
1856,291.141950131769
1857,291.1186177292915
1858,290.83271342238334
1859,290.97011083315493
1860,291.28266827308966
1861,291.6398057075396
1862,291.55012992963395
1863,291.602582790427
1864,291.6265894223566
1865,291.71804567101884
1866,291.57874220756634
1867,291.48758620170696
1868,291.7402378030019
1869,291.7893140818975
1870,291.59469194804154
1871,291.5638038112693
1872,291.6898654885488
1873,292.00363318038313
1874,291.8624060225813
1875,291.71823730468753
1876,291.79854468776756
1877,292.08848099381953
1878,291.888432834573
1879,291.7633613481913
1880,291.87018666724634
1881,292.0498805215914
1882,291.8326082412511
1883,291.77689234067316
1884,291.9879877795912
1885,292.13849771578015
1886,291.87445101803297
1887,291.7789830874091
1888,291.9192749859536
1889,292.04075334104766
1890,292.12111281303504
1891,292.03479697867607
1892,291.9830624933112
1893,292.0591172309771
1894,292.2125448148544
1895,292.06693106873394
1896,291.96015959439217
1897,292.1969668035638
1898,292.0352001451466
1899,291.7532068539972
1900,291.81522392377457
1901,292.1224198014769
1902,292.22745386411066
1903,291.983961883963
1904,292.0986202710296
1905,292.36177234388373
1906,292.257844773384
1907,292.07482801463505
1908,292.1780463231753
1909,292.3269777898919
1910,291.9876190603596
1911,291.8225246481699
1912,292.1041946202109
1913,292.26907758320846
1914,292.0523679968429
1915,292.06182250976565
1916,292.23111647514446
1917,292.2955677607288
1918,291.959705760381
1919,291.9309611281303
1920,292.1978002260809
1921,292.3567101047464
1922,292.22689284233195
1923,291.9078245398116
1924,291.9718273424122
1925,292.4036759886023
1926,292.19303981833264
1927,291.93715168156035
1928,292.09895604799874
1929,292.20216917273115
1930,292.3249061061912
1931,292.08838743444994
1932,292.0820325877568
1933,292.24659440550084
1934,292.2631648651541
1935,291.98904619608845
1936,292.0774669908497
1937,292.180538815015
1938,292.3903051088934
1939,292.078564035076
1940,291.8702028875482
1941,292.1332349803349
1942,292.4653643882438
1943,292.14661371936535
1944,291.87290239726025
1945,292.1666718783444
1946,292.44479328312286
1947,292.2228680336312
1948,292.1156921386719
1949,292.12398464255136
1950,292.0666396049604
1951,292.2917503879495
1952,292.22580332298804
1953,291.8910232334921
1954,291.8806351335081
1955,292.13595196449586
1956,292.42031191473137
1957,292.20361403373823
1958,292.0879010762254
1959,292.2801151641428
1960,292.31357906811854
1961,291.92027763471214
1962,291.94497153922305
1963,292.23051590592894
1964,292.30821064988226
1965,292.08500499986616
1966,292.0513325730415
1967,292.17776715004277
1968,292.32264922677655
1969,292.0862420905126
1970,291.9741190035049
1971,292.21503287537456
1972,292.333100368552
1973,291.96530970743254
1974,291.95746250936435
1975,292.2437651333743
1976,292.39120282734905
1977,292.07766564774187
1978,292.12303893206865
1979,292.50711176624037
1980,292.37691993190816
1981,292.12281318560036
1982,292.2777403949058
1983,292.40849132799127
1984,292.2656124585295
1985,292.1420999605362
1986,292.20251205653364
1987,292.51320140263806
1988,292.2045905126284
1989,292.1148955044681
1990,292.3051253645387
1991,292.4708450944456
1992,292.10836440831014
1993,292.01679202563145
1994,292.3044351656143
1995,292.4134340051102
1996,292.2821435379655
1997,292.2169497973298
1998,292.39041547383346
1999,292.62833469338614
