year,tas
1850,288.11224933781034
1851,288.2727636049871
1852,288.19585613093966
1853,288.0125499150525
1854,288.0271809617134
1855,288.26222609428515
1856,288.2440570151969
1857,288.2943853508936
1858,288.21540544065704
1859,288.19074422757916
1860,288.3047935172303
1861,288.23838091288525
1862,288.1890586539491
1863,288.17439867829626
1864,288.283296935199
1865,288.48650186617084
1866,288.28572245558644
1867,288.0178621475011
1868,288.16139451118363
1869,288.2371162310038
1870,288.2140168490475
1871,288.37819539945417
1872,288.5341856237961
1873,288.237369652317
1874,288.1868626424711
1875,288.45008377702266
1876,288.60369028587866
1877,288.3817267430971
1878,288.1934049423427
1879,288.1831188463185
1880,288.181109033872
1881,288.21299530447345
1882,288.3533489906624
1883,288.231000759177
1884,287.88907353649404
1885,287.835976127729
1886,287.9527230040668
1887,288.1452725345141
1888,288.21025917366757
1889,288.0071158631207
1890,287.8965443232288
1891,287.92376249130456
1892,288.1706267056399
1893,288.2034978161119
1894,287.94917502207295
1895,287.95430322934504
1896,288.02956685105414
1897,288.2595415507277
1898,288.3457227733037
1899,288.2059648069617
1900,288.1355123441513
1901,288.3023313757491
1902,288.45440155447346
1903,287.9803889026381
1904,288.05446685372965
1905,288.1107488762843
1906,288.1497344552654
1907,288.2743217572774
1908,288.2442762401006
1909,288.117882548293
1910,288.1752450603328
1911,288.4248274293664
1912,288.4624784286708
1913,288.0195702121682
1914,288.0565126183915
1915,288.3291629320954
1916,288.5344921373341
1917,288.44965126351127
1918,288.07720729880134
1919,288.11530151367185
1920,288.29757615180864
1921,288.46208930864725
1922,288.3433730870077
1923,288.0968668898491
1924,288.0953347402076
1925,288.1452617488496
1926,288.2348372786013
1927,288.3908284226509
1928,288.43927035397047
1929,288.35354647701735
1930,288.1947135193707
1931,288.288655738308
1932,288.4065792554045
1933,288.37162550834756
1934,288.38920605803185
1935,288.4688731572399
1936,288.2633130217252
1937,288.1903247571971
1938,288.40393041323307
1939,288.48291776474207
1940,288.6253445559985
1941,288.48578165132704
1942,288.28444264033067
1943,288.1548034667968
1944,288.5173022126498
1945,288.59641640023005
1946,288.3433950763859
1947,288.2094812680597
1948,288.28654107916844
1949,288.4387161045858
1950,288.5615909106111
1951,288.24363612344814
1952,288.24502697252245
1953,288.4572874304366
1954,288.2921677680865
1955,288.2950273069617
1956,288.54718343656356
1957,288.47413689600273
1958,288.2835104746361
1959,288.32712878919625
1960,288.54281800152506
1961,288.65887919386773
1962,288.2414987224422
1963,288.04376028400577
1964,288.00275235110763
1965,288.20574650176576
1966,288.42915615970134
1967,288.1703772139876
1968,288.11061443172093
1969,288.3049644156678
1970,288.4652847081014
1971,288.2191126157159
1972,288.20285577643403
1973,288.35332240274505
1974,288.3965352933701
1975,288.5347583509471
1976,288.42424157547623
1977,288.1965320325877
1978,288.28088964174873
1979,288.3700873388003
1980,288.5523310413099
1981,288.64404029323634
1982,288.2990280360392
1983,288.213824295671
1984,288.37489649106385
1985,288.6802195927868
1986,288.6837829589844
1987,288.38079031330267
1988,288.40068560038526
1989,288.5308578700235
1990,288.7035664597603
1991,288.8660559249251
1992,288.20958812138804
1993,288.1263895113174
1994,288.3503760768943
1995,288.578677409969
1996,288.7074606699486
1997,288.81489341422304
1998,288.43494655661385
1999,288.4342102886879
2000,288.6160489017016
2001,288.82882439600274
2002,288.7645613160852
2003,288.75909666296553
2004,289.0232732903468
2005,289.0375550988602
2006,288.65269190122
2007,288.6280836967573
2008,288.8049194335938
2009,288.9103896049604
2010,289.1542291510595
2011,288.92993924911707
2012,288.8594928898223
2013,288.9516401735071
2014,289.1001730722924
