year,tas
2015,288.90107229572453
2016,288.89013931065386
2017,289.11492343014226
2018,289.2362700161869
2019,289.5614451787243
2020,289.58227204623284
2021,289.16039963813677
2022,289.15527218335296
2023,289.19868155701516
2024,289.4568568399507
2025,289.4788927052119
2026,289.51058600438785
2027,289.4948374290989
2028,289.57493118913203
2029,289.6885596706443
2030,289.8104196208797
2031,289.4831310533497
2032,289.37052378197245
2033,289.52792450369213
2034,289.64210949205375
2035,289.8000215713292
2036,289.4781324412724
2037,289.51317740662455
2038,289.7109487037136
2039,289.8411341837007
2040,289.4136633468001
2041,289.3995582058005
2042,289.53454071462977
2043,289.8019507839255
2044,289.9064546767979
2045,289.66931779417274
2046,289.6754350218054
2047,289.7826400129763
2048,289.9916427821328
2049,289.6547071483037
2050,289.53052485217785
2051,289.6103485525471
2052,289.69863206001173
2053,289.5294064874518
2054,289.29368135635167
2055,289.409379682149
2056,289.6382852632705
2057,289.6179134839202
2058,289.69110174309714
2059,289.92835200061535
2060,289.7113752809289
2061,289.5004005745666
2062,289.5269134103435
2063,289.81699795657636
2064,289.81856538955475
2065,289.4540660283337
2066,289.45857201145117
2067,289.6811898009418
2068,289.8147690864458
2069,289.8917971258294
2070,289.6281493304527
2071,289.4460070466342
2072,289.44547186028467
2073,289.4819772380672
2074,289.484631431266
2075,289.66582792099206
2076,289.79874259217144
2077,289.6884577502943
2078,289.70766058098786
2079,289.75481943626926
2080,289.8647455920912
2081,289.53772833837223
2082,289.35232259671983
2083,289.64054364766156
2084,289.8805908203125
2085,289.49363821369326
2086,289.5340635534835
2087,289.52882297463617
2088,289.45693685453233
2089,289.5077754608572
2090,289.7964679874786
2091,289.7386615073844
2092,289.2879407908818
2093,289.22942805878097
2094,289.4641698549871
2095,289.4961081308861
2096,289.25366746040237
2097,289.4152694075075
2098,289.47503904577803
2099,289.3462909019157
2100,289.5321427854773
