year,tas
2015,287.7032433914812
2016,287.83252948081656
2017,287.9338096305115
2018,287.98482080747
2019,287.7557111348191
2020,287.68591651393945
2021,288.0137178603917
2022,287.95118199178614
2023,287.90848706389124
2024,287.9413817523277
2025,288.0367979284835
2026,287.945829626632
2027,287.954054406571
2028,288.04052583877353
2029,287.90732329904216
2030,287.9901795269692
2031,287.9571977171179
2032,288.0285389521351
2033,288.06288828392553
2034,288.22458044600813
2035,288.0654708235231
2036,288.1045406811858
2037,288.2324244669039
2038,288.22145954288845
2039,288.3830435138859
2040,288.4521303777825
2041,288.4287619394799
2042,288.43434540212974
2043,288.4935974957192
2044,288.6149168249679
2045,288.5791262273919
2046,288.56839072867615
2047,288.6000051838078
2048,288.84117214255133
2049,288.6777219171393
2050,288.4842097034193
2051,288.5764717833637
2052,288.83442466422304
2053,288.8269578907588
2054,289.0121979177815
2055,288.9457052152451
