year,tas
1850,287.0959757765678
1851,287.0618379775792
1852,287.09460006086795
1853,287.1128203091556
1854,287.2079915085884
1855,287.1759679506903
1856,287.2786701359161
1857,287.2710213439105
1858,287.2624691479827
1859,287.31592348699695
1860,287.305830027959
1861,287.30537920390094
1862,287.31300634096743
1863,287.286339579543
1864,287.202176446784
1865,287.24500113709325
1866,287.3864738568867
1867,287.4580599850171
1868,287.51919689439745
1869,287.4020502795912
1870,287.48787582606485
1871,287.4597028340379
1872,287.32793069081765
1873,287.4186903862104
1874,287.4528512615047
1875,287.73132449633454
1876,287.77766748715754
1877,287.6786338492616
1878,287.64055092171446
1879,287.78991523638166
1880,287.7919986254548
1881,287.78817723940494
1882,287.7507598458904
1883,287.68413010688676
1884,287.8259711278628
1885,287.7792125127087
1886,287.75635994689105
1887,287.88751998274296
1888,287.8645545436911
1889,287.75933327870825
1890,287.8726762327429
1891,287.9104017283819
1892,287.8858001290935
1893,287.9819702984535
1894,288.143034132866
1895,288.09677642404216
1896,288.15364354799874
1897,288.24910462261874
1898,288.1096557617187
1899,288.13489262829086
1900,288.1658987384953
1901,288.2512319904484
1902,288.1371019337275
1903,288.04939642083156
1904,288.12297856579085
1905,288.2199032300139
1906,288.24723402049443
1907,288.4932776882224
1908,288.55832034594386
1909,288.43402735043884
1910,288.4734712783605
1911,288.60370416510597
1912,288.63458251953125
1913,288.5213790266481
1914,288.56370239257814
1915,288.7927671667648
1916,288.67269855656036
1917,288.7881837609696
1918,288.7470529216609
1919,288.7647411607716
1920,288.87468311884635
1921,288.7660620284407
1922,288.7983730368419
1923,288.92108480375106
1924,289.0306509357609
1925,289.0281958175033
1926,288.89015419319884
1927,288.90467989150795
1928,288.78196720489086
1929,288.87254621949916
1930,288.94751202308964
1931,289.1265035550888
1932,289.289637819055
1933,289.1960423299711
1934,289.1068866886505
1935,289.203558934878
1936,289.3460492695848
1937,289.30180530286816
1938,289.2392076466182
1939,289.3970756635274
1940,289.5187220743258
1941,289.56248361247856
1942,289.5553225164544
1943,289.5146406617883
1944,289.5992343850332
1945,289.48755969739943
1946,289.5765900076252
1947,289.66903694884417
1948,289.7240310459921
1949,289.6525526908979
1950,289.79852980522264
1951,289.9359405935628
1952,289.81633777357126
1953,289.8692294186109
1954,289.96710372297724
1955,290.08096288393625
1956,290.2309138885916
1957,290.25598361916735
1958,290.1102963800299
1959,290.1764587402344
1960,290.2300980241331
1961,290.193853174497
1962,290.3396573001391
1963,290.45026571195416
1964,290.3182080412564
1965,290.4739174202697
1966,290.5819856826573
1967,290.5008483886719
1968,290.4671020507812
1969,290.5027176530393
1970,290.50485028828655
1971,290.54881148664924
1972,290.4800440958101
1973,290.6125548480308
1974,290.79712039477204
1975,290.8187285958903
1976,290.84569911172946
1977,290.87297430169093
1978,290.8368921567316
1979,290.8326358324861
1980,290.95529408912137
1981,290.87425252836044
1982,291.02481856672733
1983,291.14398853876816
1984,291.0262789791578
1985,291.0407569362693
1986,291.08307620531895
1987,291.1462383113495
1988,291.1519421721158
1989,291.23346315148757
1990,291.2978432015197
1991,291.3544681078767
1992,291.3933551109001
1993,291.3912068406196
1994,291.5071090907266
1995,291.3694228916952
1996,291.444886591663
1997,291.65741936670594
1998,291.5684907260006
1999,291.7097357763003
2000,291.82954318947986
2001,291.67074509712114
2002,291.724386889314
2003,291.91705840646404
2004,291.94402867147363
2005,291.9636032313516
2006,291.97499556868047
2007,292.0513784748234
2008,292.07076482903466
2009,292.27260315777505
2010,292.29993185801044
2011,292.277761548186
2012,292.17919637601665
2013,292.18448519772045
2014,292.3306812861195
