year,tas
1850,286.6393195165347
1851,286.68182832900794
1852,286.8769149989298
1853,286.98746605441994
1854,286.8445709646564
1855,286.77576678550406
1856,286.69958939225705
1857,286.7297073155233
1858,286.81441048400046
1859,286.9310552727686
1860,287.03177289570846
1861,287.0171776340432
1862,287.1071865134044
1863,287.2038995612158
1864,287.1430523598031
1865,287.1906409694724
1866,287.0636350866866
1867,287.0667453713613
1868,287.1957648290347
1869,287.31438314359474
1870,287.18428277838717
1871,287.05090223338505
1872,287.0235757906143
1873,287.08425978569136
1874,287.2414145273705
1875,287.2630605201199
1876,287.35638118378097
1877,287.2668564887896
1878,287.3041460429152
1879,287.11654270119857
1880,287.33472315122003
1881,287.4707772868953
1882,287.56562558526866
1883,287.5284236542166
1884,287.4277161480629
1885,287.42380948001386
1886,287.52926878210616
1887,287.7527668156036
1888,287.6650306179098
1889,287.6249816894531
1890,287.6683016006261
1891,287.49402515986196
1892,287.6200546473673
1893,287.70703743712545
1894,287.64348161253207
1895,287.57098112759525
1896,287.7023301216021
1897,287.69422833168346
1898,287.7059011799015
1899,287.7397944202162
1900,288.1108213659835
1901,288.2696641895869
1902,287.9872298567262
1903,288.0103797390036
1904,287.95466584506096
1905,288.03261559891376
1906,288.1117562071918
1907,288.20875210696704
1908,288.0849085977632
1909,288.1268844813517
1910,288.23781362037136
1911,288.30324021430863
1912,288.16461173279646
1913,288.1952287229773
1914,288.2683751772528
1915,288.33151997605415
1916,288.58520767002886
1917,288.7623894678403
1918,288.30002575181936
1919,288.22470736568926
1920,288.3885410256581
1921,288.47529087850495
1922,288.7704196877675
1923,288.7288855983786
1924,288.5767198536494
1925,288.6551032079409
1926,288.83567337663203
1927,288.868610706068
1928,288.8364445934557
1929,288.7559616297891
1930,288.7568581777076
1931,288.72625489953447
1932,288.7900668209546
1933,288.9631552500267
1934,288.8544018053028
1935,289.0670106652665
1936,289.17065546741225
1937,289.11339763484585
1938,288.98085067958044
1939,289.02607129240687
1940,289.122032520869
1941,289.0527533544253
1942,289.23148895681726
1943,289.40281029270113
1944,289.31567984803075
1945,289.30359112465214
1946,289.29894367374783
1947,289.21782460669954
1948,289.48521368993465
1949,289.5137278099582
1950,289.37697009779004
1951,289.55767563075227
1952,289.61504499879595
1953,289.7330896664972
1954,289.85966278494215
1955,289.7010187854506
1956,289.7091310265946
1957,289.7162292480469
1958,289.6934240889875
1959,289.8453693546661
1960,289.89617919921875
1961,290.0631761524775
1962,289.93085611421776
1963,289.85257024895657
1964,289.8372877983198
1965,289.7343365394905
1966,289.81789266507917
1967,289.97295080733625
1968,290.2318829262093
1969,290.2931241806239
1970,290.10413249812717
1971,290.14937384618474
1972,290.2112389969499
1973,290.2507072553243
1974,290.3177022855575
1975,290.61124342826946
1976,290.6721817643675
1977,290.5983032226562
1978,290.5693548333155
1979,290.56048859896725
1980,290.64251073549866
1981,290.64942501538417
1982,290.89894091462435
1983,290.8350966362104
1984,290.8618215900578
1985,290.72808411480634
1986,290.7644567202215
1987,290.8891717780126
1988,291.0528837021083
1989,290.92365931680763
1990,290.9066357756314
1991,290.96417328298907
1992,291.1275362197666
1993,291.2425100666203
1994,291.28775091301907
1995,291.31307824539806
1996,291.50491575476235
1997,291.5380432965004
1998,291.4319897795377
1999,291.3458765317316
2000,291.43506578419306
2001,291.4631333442583
2002,291.30999128785845
2003,291.550580837302
2004,291.55466785169625
2005,291.60568111889984
2006,291.56363542112587
2007,291.58947352579196
2008,291.8045650116385
2009,291.81793204529646
2010,291.8474007384418
2011,291.8225901146458
2012,291.96310901380565
2013,292.10258855950343
2014,291.83032627889554
