year,tas
1850,286.6606691125321
1851,286.711648684985
1852,286.68457256996464
1853,286.7245413166203
1854,286.7888926884899
1855,286.92536963893946
1856,286.95733316499894
1857,286.6228886016428
1858,286.62565667139336
1859,286.6906308526862
1860,286.6645096452269
1861,286.8042901862157
1862,286.87387578258773
1863,286.69493784447235
1864,286.6296498755886
1865,286.73888708663316
1866,286.7127382879388
1867,286.71665967131315
1868,286.67625088626386
1869,286.77467350371893
1870,286.7392683473352
1871,286.7662560867937
1872,286.7728122658926
1873,286.64218800165884
1874,286.680349438811
1875,286.72760519785425
1876,286.705778273491
1877,286.8973353555757
1878,286.98011190336047
1879,286.6086802861462
1880,286.43128168811535
1881,286.4808411480629
1882,286.50908679700876
1883,286.6455002040079
1884,286.78012854171124
1885,286.54249225773225
1886,286.5054128986515
1887,286.60289197947884
1888,286.6448013932737
1889,286.75830947666947
1890,286.60724395333904
1891,286.5371469994114
1892,286.5565979003906
1893,286.52699543156035
1894,286.3944324232127
1895,286.55407974034136
1896,286.7589111328125
1897,286.7265724495665
1898,286.5160849375268
1899,286.7907696449593
1900,286.6019042132652
1901,286.416532751632
1902,286.5073748862907
1903,286.5854331656678
1904,286.5586226789919
1905,286.5545186081977
1906,286.6522964268514
1907,286.68480308219176
1908,286.6234764621682
1909,286.6871275183273
1910,286.75148131488123
1911,286.61805720917164
1912,286.54306147327156
1913,286.6522084693386
1914,286.61508864311315
1915,286.6019803817958
1916,286.66982421874997
1917,286.85281831924226
1918,286.72855809877996
1919,286.48850891949377
1920,286.40156158029214
1921,286.6797404250053
1922,286.8170662657855
1923,286.7575118391481
1924,286.83030010902723
1925,286.70617960054585
1926,286.3876816841021
1927,286.55835537845144
1928,286.66608744582084
1929,286.62785067623605
1930,286.69048804714254
1931,286.8979235505405
1932,286.91159291724637
1933,286.9321886872592
1934,286.7500739110659
1935,286.8423762073255
1936,286.7863300480255
1937,286.70570845930547
1938,286.73922503745723
1939,286.62049736127466
1940,286.63531402169843
1941,286.77966634671975
1942,286.55785848539165
1943,286.6510458750268
1944,286.6540993050353
1945,286.52306777745076
1946,286.5816078499572
1947,286.56267315590213
1948,286.4830128290881
1949,286.57599880270755
1950,286.66942757384413
1951,286.6778424824754
1952,286.73861109067315
1953,286.7594740776167
1954,286.81739409982345
1955,286.7089318680437
1956,286.66948417768083
1957,286.62268726923696
1958,286.666421132545
1959,286.4455859876658
1960,286.6334455098191
1961,286.83186754200557
1962,286.8150525236783
1963,286.71282164691246
1964,286.6247596218161
1965,286.7056577081549
1966,286.6812816881154
1967,286.66312381274076
1968,286.5463399808701
1969,286.4459878163795
1970,286.4590322834172
1971,286.64992040346743
1972,286.7575183607128
1973,286.6749491652397
1974,286.71868127274183
1975,286.8717210743525
1976,286.93601483906787
1977,286.75622817784136
1978,286.5463243458369
1979,286.5334621481699
1980,286.67370856298163
1981,286.7352075864191
1982,286.9032095295109
1983,286.78273089683216
1984,286.6225628578499
1985,286.55636655206547
1986,286.8014782213185
1987,286.7204942677119
1988,286.7359193566727
1989,286.7464948262254
1990,286.56852901929045
1991,286.54207019544623
1992,286.6266277992562
1993,286.78437658858627
1994,286.64399531116226
1995,286.7012120913153
1996,286.77679836325444
1997,286.5609329014609
1998,286.67111281303517
1999,286.4786204716931
2000,286.67038398638164
2001,286.872131431266
2002,286.7462472575984
2003,286.7962333783712
2004,286.646343826921
2005,286.69644641614934
2006,286.7259826660156
2007,286.66473146203447
2008,286.74137180276114
2009,286.73292194523225
2010,286.7327783872003
2011,286.793424757866
2012,286.99351221372
2013,286.86311678951733
2014,286.8784887862532
2015,286.7368911534139
2016,286.8450932750963
2017,286.70269925888266
2018,286.6715054446704
2019,286.79094572720464
2020,286.77234756260697
2021,286.8541436182309
2022,286.8390477846747
2023,286.7652531872057
2024,286.4515212803671
2025,286.4577020514501
2026,286.58684725826726
2027,286.57483461980945
2028,286.39258481378425
2029,286.67915741384843
2030,286.664670510488
2031,286.48536443840965
2032,286.5226001478221
2033,286.5387116732663
2034,286.5885660249893
2035,286.7234770474368
2036,286.6971025022742
2037,286.5262931092145
2038,286.49867871428194
2039,286.5305315409621
2040,286.8054794520548
2041,286.8035805062072
2042,286.6988563015036
2043,286.6728461278628
2044,286.743152607957
2045,286.6923531310199
2046,286.744184352927
2047,286.5655424771244
2048,286.62006677078875
2049,286.59642492843005
2050,286.57588618030286
2051,286.5829800540453
2052,286.63119013538096
2053,286.7577019678403
2054,286.79093653012626
2055,286.4383414490582
2056,286.6040411126123
2057,286.71843186469926
2058,286.71090597910427
2059,286.55125941446386
2060,286.5769006180437
2061,286.72640581522904
2062,286.68698747190706
2063,286.63772332178405
2064,286.6930954188516
2065,286.6431294480415
2066,286.6061775103007
2067,286.56989913313356
2068,286.60060107087435
2069,286.58115769477746
2070,286.6474373595355
2071,286.6024396504441
2072,286.657958148277
2073,286.7275586271939
2074,286.71512467893837
2075,286.6924985284675
2076,286.538916851723
2077,286.5355459552922
2078,286.4222806747646
2079,286.49443468067744
2080,286.7857468696489
2081,286.8936722428831
2082,286.80946061643834
2083,286.64497061951516
2084,286.6623632979719
2085,286.63137282280076
2086,286.57118822907745
2087,286.69373511745505
2088,286.68842397193384
2089,286.72273693345994
2090,286.6712219238281
2091,286.74057207499465
2092,286.75384855923585
2093,286.82500234107454
2094,287.00267375789275
2095,287.03674441820954
2096,286.8068408704784
2097,286.6720300961847
2098,286.77552038741436
2099,286.8077890056453
2100,286.76660281664704
2101,286.67271820486405
2102,286.57784950569885
2103,286.6254002401273
2104,286.70170864993577
2105,286.8465357114191
2106,286.997158604452
2107,286.81407846947235
2108,286.5794778066139
2109,286.6654683988388
2110,286.668062560199
2111,286.61445881046666
2112,286.46153330345675
2113,286.4978421982021
