year,tas
1850,288.0265004615261
1851,288.6707789590914
1852,289.0220441426316
1853,289.0698031490796
1854,289.3651738415026
1855,289.69700116719287
1856,289.7851376886237
1857,289.8126510829142
1858,289.98134163634415
1859,290.12494732582405
1860,290.2319476401969
1861,290.18183861301367
1862,290.28980955359054
1863,290.35494735926795
1864,290.27392544681084
1865,290.39487020414174
1866,290.7065902082888
1867,290.6184765959439
1868,290.41933777691565
1869,290.46943810867936
1870,290.6517762066566
1871,290.8260738843108
1872,290.6885340860445
1873,290.65488105669414
1874,290.78986900016054
1875,290.799051028735
1876,290.7285499886291
1877,290.58191929647364
1878,290.74768517899184
1879,290.80138449472923
1880,290.70195906129607
1881,290.50749010059934
1882,290.67739224368574
1883,290.6972571804099
1884,290.730757036601
1885,290.7330237819724
1886,290.8960970107823
1887,290.6845245779377
1888,290.73608498769266
1889,290.91519098151224
1890,290.84110868271085
1891,290.84756009872643
1892,290.7663401146458
1893,290.6194988930062
1894,290.7384744722549
1895,290.78070160330157
1896,290.78371473338507
1897,290.73245966663103
1898,290.91484717800193
1899,290.85045809811106
1900,290.62176572198734
1901,290.8121824499679
1902,291.0464801109
1903,290.8302110645869
1904,290.88056866371466
1905,290.9340865461794
1906,290.99658236568916
1907,290.7359833181721
1908,290.7881101007331
1909,290.9744151494274
1910,290.98629075141804
1911,290.9539075877568
1912,291.02996633869327
1913,291.0459725157855
1914,290.8648555389822
1915,290.8451726207995
1916,291.0134077516321
1917,290.94404188182256
1918,290.9684580345676
1919,291.08762850826736
1920,290.98587378933
1921,291.1228850064212
1922,291.12979167781464
1923,291.20399094673047
1924,291.1530280962382
1925,291.12999501685573
1926,291.1723261584974
1927,291.19850940443064
1928,291.1429970101135
1929,291.13681548654216
1930,291.2035907066031
1931,291.3053242722603
1932,291.2560525972549
1933,291.2287355187821
1934,291.3103371816139
1935,291.1849387809022
1936,291.3643098177975
1937,291.30545838238436
1938,291.15350283270016
1939,291.27419742950025
1940,291.3817764073202
1941,291.2467675614031
1942,291.3953696054955
1943,291.37385981311536
1944,291.45198447867614
1945,291.3529575295644
1946,291.5229354231325
1947,291.48322319135275
1948,291.3871647246896
1949,291.2413952971158
1950,291.43893725251496
1951,291.5790216315283
1952,291.4005298353221
1953,291.48430175781255
1954,291.4988930062072
1955,291.49281850318386
1956,291.4549038821703
1957,291.518442984803
1958,291.44907326894264
1959,291.4525605502194
1960,291.5814129555062
1961,291.6019322225492
1962,291.4569109354933
1963,291.48801420028894
1964,291.60419938596954
1965,291.5574074941139
1966,291.5039780708208
1967,291.6365075516374
1968,291.5524837128104
1969,291.53872270976035
1970,291.64406420563995
1971,291.59449354197875
1972,291.6543822406089
1973,291.64286432135594
1974,291.51816498220785
1975,291.7791639354131
1976,291.66750956496145
1977,291.7259787363549
1978,291.75051645775363
1979,291.8069657835242
1980,291.7552471840218
1981,291.78035387013057
1982,291.667815493231
1983,291.91276353809934
1984,291.80559174002036
1985,291.8476387755511
1986,291.9321663634418
1987,291.98904025979243
1988,291.8210316279163
1989,291.95138073228804
1990,291.84345034246576
1991,291.9191974796661
1992,291.92571034888704
1993,291.9258269009525
1994,291.7451834900739
1995,291.94945511491335
1996,291.92234254601885
1997,291.8862700161868
1998,292.0435926463506
1999,292.0006044988763
2000,291.8712133120184
