year,tas
1850,287.1430642323951
1851,287.0248567764073
1852,287.1187581937607
1853,287.0631058366331
1854,287.10504016614937
1855,287.00553053764446
1856,286.94204678470135
1857,287.0806595475706
1858,287.02830300527074
1859,287.03747834506095
1860,287.0466595375374
1861,287.0903765952751
1862,286.9302501103649
1863,286.98033815148756
1864,287.0508651942422
1865,287.1514099957191
1866,287.2253829328981
1867,287.0467504213934
1868,287.01220502461473
1869,286.95620602124353
1870,286.92698539838403
1871,286.87270700115045
1872,287.03796186055223
1873,287.11856204516266
1874,287.15567175460194
1875,287.1438118712543
1876,287.0496780186483
1877,287.01247199071594
1878,287.1342837817049
1879,287.0170053978489
1880,287.07002446422837
1881,287.1014659306774
1882,287.1156463204998
1883,287.25213430744327
1884,286.93648598030825
1885,287.09896599756524
1886,287.1239390752087
1887,287.1116302072185
1888,287.1680622257598
1889,286.9542901026059
1890,286.81446190402926
1891,286.8724721412136
1892,287.00678309610447
1893,287.0112327262147
1894,287.0725343469071
1895,286.9833612311377
1896,287.14134270654966
1897,287.1481191974797
1898,286.9563723211419
1899,287.05050015384205
1900,287.0193270748609
1901,287.0983249612051
1902,287.1120412330105
1903,286.83052108973675
1904,286.83924309717463
1905,287.07502474850173
1906,287.27073389340757
1907,287.15490647407427
1908,287.0572754742348
1909,287.00974154537676
1910,287.09844168049017
1911,286.9968744983412
1912,286.8204414263164
1913,286.9744113033765
1914,287.07390303938354
1915,287.0493675754495
1916,287.2584618137307
1917,287.08186929781147
1918,287.01904004240686
1919,286.97256687112053
1920,287.17595507478063
1921,287.1033770835562
1922,287.0109163467198
1923,286.9537595147956
1924,286.9034607769691
1925,287.0810969104505
1926,287.1728333355629
1927,287.1827941894531
1928,287.04182755979775
1929,287.0497878819296
1930,287.17384977993896
1931,287.11487878250745
1932,287.2775965024347
1933,287.2493507698791
1934,287.08470843589464
1935,287.25038034099424
1936,287.22882648624784
1937,287.11129601883556
1938,287.15093826921014
1939,287.25484777999253
1940,287.00663201319026
1941,287.06398741839683
1942,287.20052732702806
1943,287.14271858946915
1944,287.16482410169624
1945,287.2888472883668
1946,287.190923905046
1947,286.97976249799336
1948,287.06223119448305
1949,287.06440028360447
1950,287.1027896410798
1951,287.1335343870398
1952,287.1692592673105
1953,287.06254088519376
1954,287.13433169012205
1955,287.11971410463934
1956,287.1393157540935
1957,287.0613415861783
1958,287.17498887989615
1959,287.03179246040236
1960,286.9478091723298
1961,287.1474260722121
1962,287.0430007725546
1963,286.9811634638538
1964,287.162923734482
1965,287.0804468442316
1966,287.02783930530285
1967,286.99868674082296
1968,286.9481066560092
1969,286.91754434663954
1970,287.06133004802547
1971,286.8897712603007
1972,287.1901215853756
1973,287.21536664570846
1974,287.13619652316993
1975,287.0566064285905
1976,287.0885550721051
1977,287.0285544199486
1978,287.12100654497533
1979,287.2242878116973
1980,287.3430359722817
1981,287.20901338760166
1982,287.3005051704302
1983,287.411126876204
1984,287.38048680971747
1985,287.2755679613923
1986,287.3842512574915
1987,287.44586022782005
1988,287.40122254254067
1989,287.40194476401973
1990,287.47652370505136
1991,287.52981784768303
1992,287.31122754240687
1993,287.2763801470195
1994,287.5429213432417
1995,287.6125109528842
1996,287.5420882551638
1997,287.389112164223
1998,287.5844842780126
1999,287.78171487050514
2000,287.77571235552233
2001,287.6197023992669
2002,287.60911990649083
2003,287.81397830492824
2004,287.91160412095996
2005,287.7699188650471
2006,287.7382204656731
2007,287.7052146598084
2008,287.61876697279
2009,287.72338332084763
2010,287.7972050915026
2011,287.81897031183115
2012,287.8789925353168
2013,287.9918593315229
2014,287.87900248488336
