year,tas
2015,287.9060153072828
2016,288.1032959820473
2017,288.1136322439533
2018,288.20532770026216
2019,288.1684561115422
2020,288.132058423186
2021,288.18657928884846
2022,288.13052953432685
2023,288.3729571616813
2024,288.4031597816781
2025,288.22615113976883
2026,288.2238145802119
2027,288.38572044895125
2028,288.34284383695416
2029,288.3996029370452
2030,288.3847411273277
2031,288.5293246334546
2032,288.5425897467626
2033,288.58503359441886
2034,288.55321262307365
2035,288.6794846626177
2036,288.6202272180009
2037,288.64581817208904
2038,288.68938372886345
2039,288.7650873889662
2040,288.7578859094071
2041,288.8160795028895
2042,288.75613754481486
2043,288.8561117093857
2044,288.867003642043
2045,288.8909398745184
2046,288.86612114057147
2047,289.0378398738495
2048,289.0029543523919
2049,289.04460056252674
2050,289.0055972582673
2051,289.0613772875642
2052,288.9839511819082
2053,289.14241876471533
2054,289.1033002461473
2055,288.97953382518193
2056,289.13159689707305
2057,289.2888764681881
2058,289.20480873421445
2059,289.1078622478328
2060,289.1278712442476
2061,289.2404270955961
2062,289.3756050005351
2063,289.4731575743793
2064,289.4103160283337
2065,289.42206320566675
2066,289.42878267471104
2067,289.3026455813891
2068,289.4579783818493
2069,289.45091862090646
2070,289.5339397273652
2071,289.54677859789706
2072,289.6199056546982
2073,289.5072401908979
2074,289.63408086071274
2075,289.6301409159621
2076,289.6317538326734
2077,289.72555224274936
2078,289.7056733431881
2079,289.6346738214362
2080,289.6177032052654
2081,289.7235548881635
2082,289.765706937607
2083,289.7667877615314
2084,289.8351994762682
2085,289.93214161494006
2086,289.83533024200017
2087,289.8999158049283
2088,289.96418072426155
2089,290.0749312727419
2090,290.0050976896939
2091,289.9542544848298
2092,289.9047365789544
2093,289.9008962134792
2094,289.98844763350814
2095,290.0437378765786
2096,289.8725121903093
2097,290.0320426209332
2098,290.07476672864937
2099,290.0073575790614
2100,289.86549782948947
