year,tas
1850,289.17384655037614
1851,290.09402089032784
1852,290.65398113332276
1853,290.87856193449755
1854,291.14317684901096
1855,291.2992227191296
1856,291.512271704126
1857,291.4073865579814
1858,291.5775664394154
1859,291.59921031168057
1860,291.6296604124691
1861,291.9304511880506
1862,291.9071596684723
1863,291.98963454976064
1864,292.14664677730565
1865,292.07945234754396
1866,292.08978137380126
1867,292.15935488089445
1868,292.3131660974205
1869,292.1490107706104
1870,292.4057449286098
1871,292.5280077326954
1872,292.58217178192945
1873,292.53016999659434
1874,292.5649089354052
1875,292.5704845459277
1876,292.6996466154098
1877,292.9334480837835
1878,292.7560085134461
1879,292.9203248368847
1880,292.8684256809191
1881,292.80920918248205
1882,292.8492162878523
1883,292.972531856227
1884,292.9331546476435
1885,293.06114478040405
1886,292.86623708768275
1887,292.85863235840094
1888,293.03949165382346
1889,292.981223803694
1890,293.0370276428726
1891,293.1744130801789
1892,293.3027280108439
1893,293.14682923950016
1894,292.9987024486967
1895,293.25413212391845
1896,293.23237957938636
1897,293.1897577274637
1898,293.2732503402614
1899,293.2586786627897
1900,293.26798273291047
1901,293.244901748171
1902,293.4647498607408
1903,293.4618210595583
1904,293.26443891721107
1905,293.33781157840315
1906,293.3184394932966
1907,293.31364605555996
1908,293.3439120641519
1909,293.347794818012
1910,293.3810968041997
1911,293.33752749423
1912,293.369717638098
1913,293.44511550192425
1914,293.36884386296293
1915,293.63985390724145
1916,293.3620847364033
1917,293.4561846832587
1918,293.46601730571115
1919,293.43452027522005
1920,293.40533604774794
1921,293.4395771771201
1922,293.56738430925856
1923,293.5925143229558
1924,293.58294480829244
1925,293.7523612622339
1926,293.713644406507
1927,293.54174830285484
1928,293.5553430085273
1929,293.6070622604782
1930,293.63386908869705
1931,293.6365259612452
1932,293.64883227015844
1933,293.6284453662363
1934,293.6508111913219
1935,293.5647303209492
1936,293.55900875262006
1937,293.47321671404325
1938,293.6027594367778
1939,293.756012743529
1940,293.74625815338175
1941,293.6139635362407
1942,293.6314410458838
1943,293.67703388372877
1944,293.535722901206
1945,293.6009450115315
1946,293.6306163648882
1947,293.7053385732806
1948,293.6403516349779
1949,293.6658774649866
1950,293.619096452141
1951,293.80406477272476
1952,293.7543404978405
1953,293.7186711754266
1954,293.76697691680266
1955,293.7229252803587
1956,293.93709070664517
1957,293.88498166344374
1958,293.8999067025423
1959,293.9632153070462
1960,293.88814947609785
1961,293.7528468947485
1962,293.5502506731908
1963,293.8777637496842
1964,293.8123376752524
1965,293.74835857499943
1966,293.7258830772559
1967,293.9424049413525
1968,293.8337146594555
1969,293.6625444340577
1970,293.7136436345322
1971,293.8744457731641
1972,293.85790374260915
1973,293.75012185919303
1974,293.7611727625467
1975,293.78148062454255
1976,293.9860028991345
1977,293.8009550587444
1978,293.8247198789546
1979,294.04483897130535
1980,293.88105297436533
1981,293.7901541313172
1982,293.83641205169573
1983,293.8046151031804
1984,293.76122538721967
1985,294.00150010333834
1986,294.1098328618404
1987,293.9095240773283
1988,293.929081396222
1989,294.0113956870143
1990,293.88162619169293
1991,293.9263241551486
1992,293.90702540644895
1993,293.86645992216296
1994,294.10607796861166
1995,294.0222917556571
1996,294.04736600951446
1997,293.99820362250426
1998,293.8894627660574
1999,293.92315938126563
