year,tas
2015,288.15841964043915
2016,288.1049010885404
2017,288.21830448783186
2018,288.36976972782435
2019,288.44682002474815
2020,288.4815023518659
2021,288.3381659459863
2022,288.3648016944513
2023,288.4087431509165
2024,288.3828913918614
2025,288.36018053304895
2026,288.54014580763425
2027,288.5998762836667
2028,288.4884452958767
2029,288.52582936770926
2030,288.5941541938969
2031,288.59012967284366
2032,288.6043464384581
2033,288.70584008351
2034,288.8219689279627
2035,288.86021291619863
2036,289.01714359837774
2037,288.95036403114204
2038,289.06798874257004
2039,289.2628518901754
2040,289.26587272468805
2041,289.250313950113
2042,289.28746756526436
2043,289.3098881890523
2044,289.2882193675655
2045,289.31581090458195
2046,289.5904957044152
2047,289.5140679382626
2048,289.6091598420691
2049,289.75545524047635
2050,289.66171883048816
2051,289.526196968613
2052,289.6402200581784
2053,289.71838343416135
2054,289.8001057599983
2055,289.8288564359829
2056,289.9026621755111
2057,289.9138423802088
2058,290.09686627514515
2059,290.2517951781518
2060,290.1938119885531
2061,290.07021477740545
2062,290.22046861514804
2063,290.18131127511907
2064,290.32943718216546
2065,290.44160827039735
2066,290.6691864837196
2067,290.58215537687806
2068,290.5168075215734
2069,290.6193998468295
2070,290.9217374857493
2071,290.95463778971475
2072,290.8015664978658
2073,290.76789881019096
2074,290.943461708419
2075,291.0359600629042
2076,291.1117345180064
2077,291.32895097382846
2078,291.1821127073888
2079,291.11617633899937
2080,291.2976940579225
2081,291.31058139831606
2082,291.3859621313361
2083,291.471528214259
2084,291.4268439776542
2085,291.6062144727618
2086,291.609707099125
2087,291.649827779187
2088,291.7729749846664
2089,291.86304017760153
2090,291.9296595248026
2091,292.0816354164018
2092,292.0798599944755
2093,291.936460340905
2094,292.1329710339329
2095,292.174222262905
2096,292.30670361614614
2097,292.21151415282657
2098,292.3727167398617
2099,292.57484562094805
2100,292.4065020047752
