year,tas
1851,287.7037446322507
1852,287.74599567570095
1853,287.6395776199967
1854,287.6650101335082
1855,287.6245214174872
1856,287.7967145527879
1857,287.82556311202376
1858,287.66527308633886
1859,287.50644614859806
1860,287.6043170249626
1861,287.45762312379605
1862,287.4101463004333
1863,287.4173618264394
1864,287.6066836004387
1865,287.7283796754602
1866,287.7506608518836
1867,287.7017122451573
1868,287.59463776888913
1869,287.6079736160905
1870,287.6015332365689
1871,287.5286628618632
1872,287.43757675379925
1873,287.37396348927115
1874,287.5375945626873
1875,287.62681274414064
1876,287.5798678463452
1877,287.4475705499518
1878,287.48873550206014
1879,287.55461551195947
1880,287.6783550105683
1881,287.7112526253478
1882,287.7480059061965
1883,287.788075737104
1884,287.62292263083265
1885,287.60773215097925
1886,287.5814655460723
1887,287.51608368337975
1888,287.4736071442904
1889,287.391098398705
1890,287.46626135421127
1891,287.50196608451944
1892,287.54830297182684
1893,287.47299813048477
1894,287.3134715459118
1895,287.351292022287
1896,287.45998811068597
1897,287.34978646056294
1898,287.4639518842305
1899,287.78120401460825
1900,287.59002693907854
1901,287.6134070827536
1902,287.686029638003
1903,287.6108892571435
1904,287.3771642397528
1905,287.46927256126924
1906,287.60913311683964
1907,287.73650429085507
1908,287.71106826573197
1909,287.64900696636874
1910,287.5858447767284
1911,287.3989832211847
1912,287.4373918925246
1913,287.67438362853164
1914,287.601112010381
1915,287.46081718549334
1916,287.49344691446385
1917,287.4424991973459
1918,287.4937204021297
1919,287.4666485512093
1920,287.4543707024561
1921,287.4818310045216
1922,287.4247481672731
1923,287.4951347455587
1924,287.55604072466286
1925,287.6428737692637
1926,287.462587455854
1927,287.4812378765785
1928,287.59092265089896
1929,287.6697750561858
1930,287.6729380150364
1931,287.7625634598405
1932,287.4255697171982
1933,287.5791562433113
1934,287.5725186282641
1935,287.5173094030929
1936,287.5163532413848
1937,287.44619190790877
1938,287.57955171767975
1939,287.69344407173054
1940,287.60614339750106
1941,287.573117776113
1942,287.7758399440818
1943,287.76448531477416
1944,287.7711859716128
1945,287.6536358558968
1946,287.68193200516373
1947,287.77646944228917
1948,287.499956690122
1949,287.56409293396837
1950,287.69845179727633
1951,287.5285766601562
1952,287.66687998314427
1953,287.88588541109266
1954,287.7184301925032
1955,287.68330320593424
1956,287.6614767832299
1957,287.7641370799443
1958,287.7710593027611
1959,287.5685479151059
1960,287.53372317797516
1961,287.6438728228007
1962,287.757964502622
1963,287.7461003551744
1964,287.7120668176102
1965,287.70920468683113
1966,287.7826798948523
1967,287.6684041062446
1968,287.6109640043076
1969,287.6550313871201
1970,287.6410098559236
1971,287.68571250601985
1972,287.6687090311965
1973,287.5065911279966
1974,287.60738700971206
1975,288.0535647875642
1976,287.9600177085563
1977,287.75422262949485
1978,287.5663998120452
1979,287.46713407333584
1980,287.44974055878106
1981,287.44797237866544
1982,287.4372900557845
1983,287.4056883929527
1984,287.43788368538634
1985,287.5537094325236
1986,287.48283340245075
1987,287.6376674704356
1988,287.6126730722924
1989,287.3792045697774
1990,287.6174476937072
1991,287.59943697158604
1992,287.53637778922297
1993,287.7319066713934
1994,287.6953119147314
1995,287.67188770869006
1996,287.88488777892235
1997,287.8331323074968
1998,287.45368518568057
1999,287.369044222897
2000,287.43565573496363
2001,287.68455843990796
2002,287.6576374210723
2003,287.46348350211366
2004,287.8186456549658
2005,287.9329481987104
2006,287.69070116853055
2007,287.70221766641697
2008,287.8113547965272
2009,287.676062764207
2010,287.5398241853061
2011,287.547102585884
2012,287.6032899621415
2013,287.6799402524347
2014,287.9217778454088
2015,287.87795644263696
2016,287.465912868552
2017,287.6321981351669
2018,287.8061856204516
2019,287.52515409286707
2020,287.4474816727311
2021,287.3662383615154
2022,287.5003431346318
2023,287.553221820152
2024,287.4770139929367
2025,287.5112614879869
2026,287.7348377802601
2027,287.4620178222656
2028,287.5002107803135
2029,287.81255309222496
2030,287.9133251451466
2031,287.56855995491753
2032,287.57260993016905
2033,287.5784870304474
2034,287.3552398263592
2035,287.4936177292915
2036,287.42689919667697
2037,287.4562625414705
2038,287.45818707191773
2039,287.50903805249357
2040,287.3705640818975
2041,287.51979152731695
2042,287.5635730482128
2043,287.5401901454141
2044,287.57153972468967
2045,287.6191335181667
2046,287.54333621508454
2047,287.48538350144474
2048,287.46374118752675
2049,287.6929318780769
2050,287.7639300620719
2051,287.60446359294735
2052,287.6173013765518
2053,287.88919343295163
2054,287.6604709572988
2055,287.68262671901755
2056,287.7431348826787
2057,287.76251605308215
2058,287.5591946536547
2059,287.5868404022635
2060,287.8539001464844
2061,287.84397357261344
2062,287.76172000414704
2063,287.393591224984
2064,287.5742593007545
2065,287.6255970576038
2066,287.357862164223
2067,287.3372481672731
2068,287.54541408591075
2069,287.7052253618632
2070,287.5865716803563
2071,287.5863431747645
2072,287.6389817329302
2073,287.4594982408497
2074,287.38637285624463
2075,287.3853207940924
2076,287.542562824406
2077,287.6626392103221
2078,287.7763449472924
2079,287.730279373796
2080,287.96438389608306
2081,287.8002881193813
2082,287.6630330124947
2083,287.73730468749994
2084,287.3790052440068
2085,287.4698105903521
2086,287.64195255645336
2087,287.641412604345
2088,287.56674252862797
2089,287.6693338472549
2090,287.65882651969184
2091,287.53485717773435
2092,287.5598248207406
2093,287.56739886558216
2094,287.55589449111733
2095,287.70810747538525
2096,287.66452385889335
2097,287.6069376906304
2098,287.7823054901541
2099,287.7657624545163
2100,287.29135508080054
