year,tas
1600,287.58605212904
1601,287.6835733492081
1602,287.7019339783551
1603,287.68980863388265
1604,287.64169512186965
1605,287.6826338258508
1606,287.694553741037
1607,287.6119710007759
1608,287.53581476080905
1609,287.577095345275
1610,287.6934414798266
1611,287.52547791363446
1612,287.51308276032745
1613,287.49877770828874
1614,287.47355338318704
1615,287.59957977712975
1616,287.7518042159407
1617,287.7176508655287
1618,287.6815504100225
1619,287.75038552480197
1620,287.73265690215646
1621,287.5119462522742
1622,287.5028620471693
1623,287.571857609161
1624,287.5176996100439
1625,287.67135101736403
1626,287.6868128110284
1627,287.5692988983572
1628,287.4802086399026
1629,287.7465849575931
1630,287.66719017551367
1631,287.69179871441565
1632,287.7423430142337
1633,287.4771680858037
1634,287.63145735231166
1635,287.86281679754387
1636,287.8782750795965
1637,287.59946481365046
1638,287.43714398945843
1639,287.4792724609375
1640,287.71410614431727
1641,287.67081775404006
1642,287.55748157239935
1643,287.68332235257924
1644,287.8403952402611
1645,287.91961343843644
1646,287.58851828379176
1647,287.49650435774294
1648,287.4833469338613
1649,287.43367242682467
1650,287.45372740863115
1651,287.74820740582186
1652,287.7866501899615
1653,287.76045415172837
1654,287.5839783550942
1655,287.73297721131206
1656,287.6716926470195
1657,287.6071640223673
1658,287.48925371561967
1659,287.43371740889876
1660,287.43452307296127
1661,287.6541373474957
1662,287.7275750147153
1663,287.62989409982345
1664,287.71204190188894
1665,287.66108515491226
1666,287.4265178523651
1667,287.45514158484053
1668,287.70890829007914
1669,287.69633488067205
1670,287.7138314861141
1671,287.7948130150364
1672,287.7259529009257
1673,287.62456531263376
1674,287.5318016574807
1675,287.60053033698097
1676,287.354030243338
1677,287.3648583817155
1678,287.39044933580374
1679,287.2701904296875
1680,287.3463140618311
1681,287.52473219780074
1682,287.5154494194135
1683,287.60580001203977
1684,287.7111458556293
1685,287.68041356752997
1686,287.6872842030983
1687,287.8010235512093
1688,287.5400429921607
1689,287.49342576118363
1690,287.4273589669842
1691,287.4420412664544
1692,287.5038504822613
1693,287.4447867615582
1694,287.4587909019156
1695,287.5639022200075
1696,287.57895641588186
1697,287.7055533631207
1698,287.89744906490796
1699,287.6783917988816
1700,287.43762106699484
1701,287.5326832392445
1702,287.7761972923801
1703,287.6140070667006
1704,287.6605442830961
1705,287.8066443038313
1706,287.7852858451948
1707,287.6916695372699
1708,287.58766136692
1709,287.5523039517338
1710,287.6101338425728
1711,287.7717217432309
1712,287.56638543115906
1713,287.5074182797784
1714,287.5734484528842
1715,287.7612116565443
1716,287.99562612037136
1717,287.92579905888806
1718,287.8260303236034
1719,287.8762445319188
1720,287.76975992281143
1721,287.5724891140036
1722,287.6151730890143
1723,287.53856686108736
1724,287.5405729110927
1725,287.55503489873183
