year,tas
1850,287.1542569931239
1851,287.17364694255673
1852,287.0684332024561
1853,287.03942695513166
1854,287.3033808459975
1855,287.2995653126338
1856,286.94840129695524
1857,286.9211413239779
1858,286.91636018099854
1859,286.9434454094874
1860,287.0171358291417
1861,286.91135262267227
1862,286.9326916838345
1863,287.0223760735499
1864,287.16914371856274
1865,287.227956442637
1866,287.40089696596743
1867,287.36016653400577
1868,287.009191142043
1869,286.9825633427868
1870,286.9160783323523
1871,287.03441672129173
1872,287.0794167714576
1873,287.06872006769044
1874,287.33283825181934
1875,287.2231175252836
1876,287.057174724422
1877,287.29314282561
1878,287.120774444162
1879,286.9998306901487
1880,287.01618493485125
1881,287.32728614284565
1882,287.1982369200824
1883,286.8745847101081
1884,286.580251782561
1885,286.5479523123127
1886,286.8218719064373
1887,286.9093003364459
1888,287.0390681018568
1889,287.0533025036119
1890,286.86968801838077
1891,286.84227529029323
1892,286.972200660183
1893,286.85289072533175
1894,286.98136479625964
1895,286.9190984020494
1896,286.99930536975603
1897,287.0503668798159
1898,287.0887373414758
1899,287.1874678102258
1900,287.13657861997
1901,287.074247177333
1902,286.98827364150793
1903,286.9928684182363
1904,286.9937313550139
1905,286.8647234354934
1906,286.89252260809076
1907,286.77710930811213
1908,286.8626879548373
1909,286.9052036233144
1910,286.9188195633561
1911,287.1760656069403
1912,287.07420152638053
1913,287.09952359134206
1914,287.1729762247164
1915,287.05334991037023
1916,286.95164117682464
1917,287.0363699299015
1918,287.0339816158765
1919,287.16989955118254
1920,287.18328581509525
1921,287.1096597749893
1922,286.9079556399829
1923,286.78286249866227
1924,286.78285764929365
1925,286.74734923480304
1926,286.8951937740796
1927,286.9825473733144
1928,286.9703062292648
1929,286.9871454944349
1930,287.21852617655713
1931,287.28031808513487
1932,286.92130845997434
1933,287.076736157561
1934,287.2008058312821
1935,287.05247041885167
1936,286.9039222194724
1937,286.9793912704677
1938,287.13794171058964
1939,287.21611035490685
1940,287.30171057296127
1941,287.2280076118365
1942,287.21357873367936
1943,287.08747826145117
1944,287.03586609722817
1945,287.1187117067102
1946,287.0552067168772
1947,287.0418115903253
1948,287.2565555938302
1949,287.2328840699914
1950,287.29676948442847
1951,287.38325262200345
1952,287.2064377040079
1953,287.18039977191245
1954,287.2654842010916
1955,287.09177204288846
1956,286.9839303630672
1957,286.91251479893515
1958,286.99418594151325
1959,287.2060048560574
1960,287.2744840439052
1961,287.40563705653364
1962,287.40045592425616
1963,287.11316453071487
1964,286.90307057001826
1965,286.79188750802655
1966,286.71831389126714
1967,286.566884330854
1968,286.74043227940393
1969,286.70694646965967
1970,286.76301896604764
1971,286.763292286494
1972,286.993700753826
1973,287.02998832807145
1974,287.1609814787564
1975,287.1960506909514
1976,287.10282617856376
1977,287.20690132036606
1978,287.30772186697345
1979,287.3855183640572
1980,287.18305279457405
1981,287.18130008227206
1982,287.0819381086793
1983,286.9119873046875
1984,286.9066132845944
1985,287.0937765043075
1986,287.0514508809129
1987,286.8980606706175
1988,287.03808652276865
1989,287.28865281196494
1990,287.8330328118312
1991,287.53543441981486
1992,287.1368579603221
1993,287.2395453466128
1994,287.51084954248716
1995,287.477088572881
1996,287.5440614465165
1997,287.4299904183166
1998,287.12235600719714
1999,286.9741924965219
2000,287.0046613301316
2001,287.31732696115154
2002,287.46254774119757
2003,287.6593475759846
2004,287.8842097034193
2005,287.94159621147264
2006,287.65596948911065
2007,287.4294411855201
2008,287.36133832539593
2009,287.5249714890571
2010,287.54472522474316
2011,287.50456735271297
2012,287.61547826479557
2013,287.84158743244325
2014,287.999344833583
