year,tas
1850,286.0197746381367
1851,286.1026822024829
1852,286.1985033845248
1853,286.2071843395495
1854,286.3156331101509
1855,286.2023252722335
1856,286.2512350004013
1857,286.304014942744
1858,286.3541373474957
1859,286.4237779591182
1860,286.4723116103917
1861,286.30283788393626
1862,286.42847741531995
1863,286.43274703352415
1864,286.2917053222656
1865,286.31092153052754
1866,286.44287502341075
1867,286.5157879555062
1868,286.50098325128425
1869,286.48918565723994
1870,286.6034722315121
1871,286.6949980435306
1872,286.7835738508669
1873,286.8538496461632
1874,286.851495862987
1875,286.84187128772476
1876,287.0003817623609
1877,287.2093184797731
1878,287.1903420644264
1879,286.87299604023974
1880,286.875809259284
1881,287.01475637775576
1882,287.045409738201
1883,287.1970602793236
1884,287.20181784433856
1885,287.15984471987366
1886,287.20121618819564
1887,287.2003363622378
1888,287.41231555677444
1889,287.39806752662133
1890,287.3409437205693
1891,287.4372852064159
1892,287.4886023952537
1893,287.53812013390944
1894,287.64401002648754
1895,287.7289185406411
1896,287.64486828111615
1897,287.76260233839895
1898,287.7901183245933
1899,287.69566098565923
1900,287.6590593729933
1901,287.6773139849101
1902,287.7382019042969
1903,287.88755075115046
1904,287.8684714957459
1905,287.8182804473459
1906,287.9318231452001
1907,288.0423181821222
1908,288.1823650203339
1909,288.2636067429634
1910,288.2586730120933
1911,288.21874523424117
1912,288.27334695058323
1913,288.1896843061055
1914,288.12922212783604
1915,288.10972005765734
1916,288.155886130137
1917,288.3416168630939
1918,288.41810444871044
1919,288.58479547369967
1920,288.53749414731385
1921,288.4975206348994
1922,288.63554846358625
1923,288.75523389006315
1924,288.7538639434396
1925,288.70443825917704
1926,288.75088919025575
1927,288.68893123260915
1928,288.7726878545056
1929,288.83071088398975
1930,288.75741786172944
1931,288.82902924002036
1932,288.78817991491866
1933,288.9199534795055
1934,289.04744881407856
1935,289.0038001491599
1936,288.9603569135274
1937,288.95925518715217
1938,289.1341447386023
1939,289.0664617669092
1940,289.13243851335085
1941,289.1681586278628
1942,289.38441228997215
1943,289.3518335629816
1944,289.1058678195901
1945,289.265673828125
1946,289.47824840806936
1947,289.2396914129388
1948,289.29173057242616
1949,289.36632815844393
1950,289.58889452790555
1951,289.5729268949326
1952,289.72087544480416
1953,289.81092253384526
1954,289.71422737853163
1955,289.8147278668129
1956,290.0380431292808
1957,289.86231856672725
1958,289.8385393534621
1959,289.9848142022955
1960,290.0963143962703
1961,290.05293478769795
1962,290.0896128197238
1963,290.08426037095995
1964,289.9614982709493
1965,290.2371697412778
1966,290.1520114846425
1967,290.02743463385593
1968,290.20113383253965
1969,290.48366406584444
1970,290.38530465740047
1971,290.450830078125
1972,290.3490493565389
1973,290.15949464562823
1974,290.4241072145227
1975,290.52064359482017
1976,290.3274443325931
1977,290.5385036520762
1978,290.7260022307095
1979,290.7278342051049
1980,290.54147489364834
1981,290.53952093255026
1982,290.7614292092519
1983,290.7714724187981
1984,290.8280819409514
1985,290.74281357020544
1986,290.9388159346907
1987,290.91697538192955
1988,290.94295955292165
1989,290.9815058459974
1990,290.8736897507759
1991,290.95893629936324
1992,291.0092350371897
1993,291.07815267484483
1994,291.0831732763003
1995,291.3066882825877
1996,291.2841178162457
1997,291.1126070205479
1998,291.06080263738755
1999,291.4603463786922
