year,tas
2015,287.83866763837125
2016,287.73624716863765
2017,287.6533066741303
2018,287.6393835735625
2019,287.7493499717225
2020,287.7720613748269
2021,287.8074516859996
2022,287.88889200923086
2023,288.0060227654762
2024,288.24311287953094
2025,288.3205805088574
2026,288.26104854779294
2027,288.2311172373878
2028,288.3143878198015
2029,288.5037137783093
2030,288.59448514916687
2031,288.4522877311495
2032,288.53752702918916
2033,288.68153936251144
2034,288.81094819042346
2035,288.7552198104379
2036,288.9471860715301
2037,289.03416839295437
2038,289.1639200548689
2039,289.4446189406366
2040,289.26145160960954
2041,289.2531201728516
2042,289.3932195784348
2043,289.46975672149364
2044,289.5270574027445
2045,289.43473639497324
2046,289.4811308642747
2047,289.67755283442216
2048,289.8662260931435
2049,289.7673226461881
2050,289.7628510077008
2051,289.8772043342173
2052,290.0782370064951
2053,290.28719388041714
2054,290.25076558780347
2055,290.15176904514726
2056,290.2101305751069
2057,290.26333336842754
2058,290.3255426041895
2059,290.3849023098519
2060,290.55683308482276
2061,290.634846625127
2062,290.7984391561986
2063,290.88964841931886
2064,290.80637507864094
2065,290.87763640141895
2066,291.1716999009051
2067,291.240944656839
2068,291.13021159958976
2069,291.07574418159555
2070,291.39541487232964
2071,291.63711474713466
2072,291.71557796625905
2073,291.6178020004823
2074,291.7684763456345
2075,291.98927558713103
2076,292.06395426188783
2077,291.88963701476746
2078,292.01571940281593
2079,292.21515481126573
2080,292.3735185002232
2081,292.3068966797888
2082,292.37252882837083
2083,292.6925947553098
2084,292.81436915618036
2085,292.7073001916981
2086,292.793106520013
2087,292.8334875817222
2088,292.9720100912868
2089,292.87212449840445
2090,293.11534660871695
2091,293.4111573065934
2092,293.42254963444645
2093,293.359781241829
2094,293.318526460757
2095,293.6335483325003
2096,293.6613445819698
2097,293.6589589693409
2098,293.66750681051093
2099,293.8491430244245
2100,294.05843303360143
