year,tas
1850,286.51624594952733
1851,286.52399389478023
1852,286.62946743136933
1853,286.6786150791467
1854,286.59987976624626
1855,286.47076716095023
1856,286.6627855905946
1857,286.6840003715915
1858,286.66610294940483
1859,286.702381938273
1860,286.6278352727117
1861,286.7245474330994
1862,286.64277521906024
1863,286.67153149745786
1864,286.6537983895618
1865,286.46573431590116
1866,286.5442501415843
1867,286.570952144832
1868,286.52568650565695
1869,286.34358780454744
1870,286.23844280664827
1871,286.42172390864255
1872,286.69416012773274
1873,286.73557425307973
1874,286.5268107488887
1875,286.4914285414065
1876,286.5291213219373
1877,286.6585482211646
1878,286.79632840353264
1879,286.60763565814943
1880,286.6132999173924
1881,286.5336592967245
1882,286.61170489911456
1883,286.65880376429385
1884,286.35840517260345
1885,286.31561778932326
1886,286.3905393493738
1887,286.4901492880984
1888,286.6501829875011
1889,286.60104956329053
1890,286.56089760560127
1891,286.77035172760026
1892,286.755163129522
1893,286.46155340203705
1894,286.52232250334293
1895,286.5908734126659
1896,286.6690691871244
1897,286.5403976764522
1898,286.57509000739805
1899,286.4979603683396
1900,286.5757178014802
1901,286.4225826013392
1902,286.5496153804081
1903,286.5428530211624
1904,286.43456182050767
1905,286.4924513460934
1906,286.47538487227195
1907,286.6391068060775
1908,286.6039112781621
1909,286.55590812135193
1910,286.5263155416675
1911,286.5754350608066
1912,286.4887106351001
1913,286.5702577714759
1914,286.6839018941378
1915,286.6994770465648
1916,286.57600066970184
1917,286.4777932760925
1918,286.58540934531834
1919,286.71501728812865
1920,286.60367680627127
1921,286.462499512844
1922,286.4721275483641
1923,286.49518654652667
1924,286.66446022889266
1925,286.65164800005186
1926,286.62409901170435
1927,286.4765582055532
1928,286.55954754678874
1929,286.547940232382
1930,286.6441528727675
1931,286.45927058718104
1932,286.5048013796033
1933,286.5248571686927
1934,286.46986573750604
1935,286.5098921443636
1936,286.6572852259734
1937,286.36763390585446
1938,286.34824082537193
1939,286.529578815182
1940,286.4255099788517
1941,286.49990420643144
1942,286.6681792023833
1943,286.47401788788017
1944,286.6068191936562
1945,286.4553108781818
1946,286.52959201600584
1947,286.63481618477164
1948,286.5935189909572
1949,286.394557104075
1950,286.3548703682273
1951,286.3688435629446
1952,286.4455700558443
1953,286.48802369953063
1954,286.772833592629
1955,286.58390392272184
1956,286.6581366507276
1957,286.6101333875677
1958,286.70563103490065
1959,286.5606637291042
1960,286.57772783523495
1961,286.4846127841977
1962,286.6405889691492
1963,286.39796731771617
1964,286.1159117085968
1965,286.31037179397225
1966,286.4073784007925
1967,286.2384845944796
1968,286.0939780570903
1969,286.16316045023575
1970,286.31165943261146
1971,286.2159891748802
1972,286.2273823420216
1973,286.2253460073119
1974,286.2038825335978
1975,286.3487406491781
1976,286.37269198178967
1977,286.3249967083394
1978,286.4360665254935
1979,286.3529603360698
1980,286.3084822220495
1981,286.4267397630878
1982,286.463646920314
1983,286.4738697418158
1984,286.465612305245
1985,286.38669834995994
1986,286.5719978396612
1987,286.56198036246224
1988,286.5538536258378
1989,286.71184701338075
1990,286.8543977496824
1991,286.6513747621617
1992,286.40520798718126
1993,286.617622990766
1994,286.75846670618597
1995,286.7550051152173
1996,286.90182264627464
1997,286.9833660275134
1998,287.155656101607
1999,287.1133989701258
2000,287.1885947022323
2001,287.214051446992
2002,287.33476673161977
2003,287.21973726602073
2004,287.21522604037625
2005,287.2689267927986
2006,287.20643760270497
2007,287.28342116481815
2008,287.38828795910285
2009,287.41586265941686
2010,287.45947904865915
2011,287.52003753451913
2012,287.47432423585974
2013,287.55668183368374
2014,287.61519530136167
