year,tas
2015,287.6642294057108
2016,287.6508036260181
2017,287.8065320942606
2018,287.88812263108025
2019,287.92093700209284
2020,287.8904484441923
2021,287.838936516204
2022,287.9390487499676
2023,287.92631856521956
2024,288.22660311356356
2025,288.4202737839049
2026,288.37544380157806
2027,288.40351086335926
2028,288.3578239369097
2029,288.2695059543407
2030,288.4430047985733
2031,288.73490419381193
2032,288.7483783087651
2033,288.48715097712375
2034,288.786131024689
2035,288.8288913705191
2036,288.92288545186966
2037,288.92685954751624
2038,288.98984846425617
2039,288.99664522221684
2040,289.0676342183064
2041,289.03916998586897
2042,289.0590292640109
2043,289.15401896600616
2044,289.17965631982
2045,289.3621631199981
2046,289.53069683061756
2047,289.43565772855516
2048,289.509357864381
2049,289.6091493635208
2050,289.64867908560745
2051,289.54876358483307
2052,289.6425961748597
2053,289.80107140499865
2054,289.7225560123796
2055,289.87431810631244
2056,289.8855687216516
2057,290.1000255753827
2058,290.1943572251835
2059,290.10678313882465
2060,290.0679561891601
2061,290.0813670323707
2062,290.07407870721426
2063,290.10091129965497
2064,290.31322419035575
2065,290.32723039176994
2066,290.2746145629589
2067,290.40528143448046
2068,290.55581895465673
2069,290.62268470988096
2070,290.6237783012724
2071,290.62826447470417
2072,290.8736917064575
2073,290.8235426224865
2074,290.80907992102277
2075,290.9059137767822
2076,290.9532474732063
2077,291.10571357316536
2078,291.1543382159975
2079,291.06929234990844
2080,291.20784972707844
2081,291.46543299336963
2082,291.25019574591215
2083,291.3990731136233
2084,291.57343537744913
2085,291.76446850434553
2086,291.66146254984625
2087,291.6423198554948
2088,291.6827873441967
2089,291.89556227461804
2090,292.0727464549784
2091,292.13412253607794
2092,292.0975353544766
2093,292.1946724145761
2094,292.4184606621583
2095,292.3938659090659
2096,292.4092873247211
2097,292.63319467396013
2098,292.65454213844384
2099,292.6973078433441
2100,292.90433485845995
