source_id,activity_id,experiment_id,variant_label,variable,grid_label,filenum,filename,filesize,download_url,opendap_url
IPSL-CM6A-MR1,CMIP,1pctCO2,r1i1p1f1,areacella,gr,1/1,areacella_fx_IPSL-CM6A-MR1_1pctCO2_r1i1p1f1_gr.nc,31113,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/IPSL/IPSL-CM6A-MR1/1pctCO2/r1i1p1f1/fx/areacella/gr/v20231229/areacella_fx_IPSL-CM6A-MR1_1pctCO2_r1i1p1f1_gr.nc|http://vesg.ipsl.upmc.fr/thredds/fileServer/cmip6/CMIP/IPSL/IPSL-CM6A-MR1/1pctCO2/r1i1p1f1/fx/areacella/gr/v20231229/areacella_fx_IPSL-CM6A-MR1_1pctCO2_r1i1p1f1_gr.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/IPSL/IPSL-CM6A-MR1/1pctCO2/r1i1p1f1/fx/areacella/gr/v20231229/areacella_fx_IPSL-CM6A-MR1_1pctCO2_r1i1p1f1_gr.nc|http://vesg.ipsl.upmc.fr/thredds/dodsC/cmip6/CMIP/IPSL/IPSL-CM6A-MR1/1pctCO2/r1i1p1f1/fx/areacella/gr/v20231229/areacella_fx_IPSL-CM6A-MR1_1pctCO2_r1i1p1f1_gr.nc
IPSL-CM6A-MR1,CMIP,1pctCO2,r1i1p1f1,rlut,gr,1/6,rlut_Amon_IPSL-CM6A-MR1_1pctCO2_r1i1p1f1_gr_185001-187412.nc,50659927,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/IPSL/IPSL-CM6A-MR1/1pctCO2/r1i1p1f1/Amon/rlut/gr/v20231229/rlut_Amon_IPSL-CM6A-MR1_1pctCO2_r1i1p1f1_gr_185001-187412.nc|http://vesg.ipsl.upmc.fr/thredds/fileServer/cmip6/CMIP/IPSL/IPSL-CM6A-MR1/1pctCO2/r1i1p1f1/Amon/rlut/gr/v20231229/rlut_Amon_IPSL-CM6A-MR1_1pctCO2_r1i1p1f1_gr_185001-187412.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/IPSL/IPSL-CM6A-MR1/1pctCO2/r1i1p1f1/Amon/rlut/gr/v20231229/rlut_Amon_IPSL-CM6A-MR1_1pctCO2_r1i1p1f1_gr_185001-187412.nc|http://vesg.ipsl.upmc.fr/thredds/dodsC/cmip6/CMIP/IPSL/IPSL-CM6A-MR1/1pctCO2/r1i1p1f1/Amon/rlut/gr/v20231229/rlut_Amon_IPSL-CM6A-MR1_1pctCO2_r1i1p1f1_gr_185001-187412.nc
IPSL-CM6A-MR1,CMIP,1pctCO2,r1i1p1f1,rlut,gr,2/6,rlut_Amon_IPSL-CM6A-MR1_1pctCO2_r1i1p1f1_gr_187501-189912.nc,50571277,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/IPSL/IPSL-CM6A-MR1/1pctCO2/r1i1p1f1/Amon/rlut/gr/v20231229/rlut_Amon_IPSL-CM6A-MR1_1pctCO2_r1i1p1f1_gr_187501-189912.nc|http://vesg.ipsl.upmc.fr/thredds/fileServer/cmip6/CMIP/IPSL/IPSL-CM6A-MR1/1pctCO2/r1i1p1f1/Amon/rlut/gr/v20231229/rlut_Amon_IPSL-CM6A-MR1_1pctCO2_r1i1p1f1_gr_187501-189912.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/IPSL/IPSL-CM6A-MR1/1pctCO2/r1i1p1f1/Amon/rlut/gr/v20231229/rlut_Amon_IPSL-CM6A-MR1_1pctCO2_r1i1p1f1_gr_187501-189912.nc|http://vesg.ipsl.upmc.fr/thredds/dodsC/cmip6/CMIP/IPSL/IPSL-CM6A-MR1/1pctCO2/r1i1p1f1/Amon/rlut/gr/v20231229/rlut_Amon_IPSL-CM6A-MR1_1pctCO2_r1i1p1f1_gr_187501-189912.nc
IPSL-CM6A-MR1,CMIP,1pctCO2,r1i1p1f1,rlut,gr,3/6,rlut_Amon_IPSL-CM6A-MR1_1pctCO2_r1i1p1f1_gr_190001-192412.nc,50490483,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/IPSL/IPSL-CM6A-MR1/1pctCO2/r1i1p1f1/Amon/rlut/gr/v20231229/rlut_Amon_IPSL-CM6A-MR1_1pctCO2_r1i1p1f1_gr_190001-192412.nc|http://vesg.ipsl.upmc.fr/thredds/fileServer/cmip6/CMIP/IPSL/IPSL-CM6A-MR1/1pctCO2/r1i1p1f1/Amon/rlut/gr/v20231229/rlut_Amon_IPSL-CM6A-MR1_1pctCO2_r1i1p1f1_gr_190001-192412.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/IPSL/IPSL-CM6A-MR1/1pctCO2/r1i1p1f1/Amon/rlut/gr/v20231229/rlut_Amon_IPSL-CM6A-MR1_1pctCO2_r1i1p1f1_gr_190001-192412.nc|http://vesg.ipsl.upmc.fr/thredds/dodsC/cmip6/CMIP/IPSL/IPSL-CM6A-MR1/1pctCO2/r1i1p1f1/Amon/rlut/gr/v20231229/rlut_Amon_IPSL-CM6A-MR1_1pctCO2_r1i1p1f1_gr_190001-192412.nc
IPSL-CM6A-MR1,CMIP,1pctCO2,r1i1p1f1,rlut,gr,4/6,rlut_Amon_IPSL-CM6A-MR1_1pctCO2_r1i1p1f1_gr_192501-194912.nc,50403607,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/IPSL/IPSL-CM6A-MR1/1pctCO2/r1i1p1f1/Amon/rlut/gr/v20231229/rlut_Amon_IPSL-CM6A-MR1_1pctCO2_r1i1p1f1_gr_192501-194912.nc|http://vesg.ipsl.upmc.fr/thredds/fileServer/cmip6/CMIP/IPSL/IPSL-CM6A-MR1/1pctCO2/r1i1p1f1/Amon/rlut/gr/v20231229/rlut_Amon_IPSL-CM6A-MR1_1pctCO2_r1i1p1f1_gr_192501-194912.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/IPSL/IPSL-CM6A-MR1/1pctCO2/r1i1p1f1/Amon/rlut/gr/v20231229/rlut_Amon_IPSL-CM6A-MR1_1pctCO2_r1i1p1f1_gr_192501-194912.nc|http://vesg.ipsl.upmc.fr/thredds/dodsC/cmip6/CMIP/IPSL/IPSL-CM6A-MR1/1pctCO2/r1i1p1f1/Amon/rlut/gr/v20231229/rlut_Amon_IPSL-CM6A-MR1_1pctCO2_r1i1p1f1_gr_192501-194912.nc
IPSL-CM6A-MR1,CMIP,1pctCO2,r1i1p1f1,rlut,gr,5/6,rlut_Amon_IPSL-CM6A-MR1_1pctCO2_r1i1p1f1_gr_195001-197412.nc,50301771,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/IPSL/IPSL-CM6A-MR1/1pctCO2/r1i1p1f1/Amon/rlut/gr/v20231229/rlut_Amon_IPSL-CM6A-MR1_1pctCO2_r1i1p1f1_gr_195001-197412.nc|http://vesg.ipsl.upmc.fr/thredds/fileServer/cmip6/CMIP/IPSL/IPSL-CM6A-MR1/1pctCO2/r1i1p1f1/Amon/rlut/gr/v20231229/rlut_Amon_IPSL-CM6A-MR1_1pctCO2_r1i1p1f1_gr_195001-197412.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/IPSL/IPSL-CM6A-MR1/1pctCO2/r1i1p1f1/Amon/rlut/gr/v20231229/rlut_Amon_IPSL-CM6A-MR1_1pctCO2_r1i1p1f1_gr_195001-197412.nc|http://vesg.ipsl.upmc.fr/thredds/dodsC/cmip6/CMIP/IPSL/IPSL-CM6A-MR1/1pctCO2/r1i1p1f1/Amon/rlut/gr/v20231229/rlut_Amon_IPSL-CM6A-MR1_1pctCO2_r1i1p1f1_gr_195001-197412.nc
IPSL-CM6A-MR1,CMIP,1pctCO2,r1i1p1f1,rlut,gr,6/6,rlut_Amon_IPSL-CM6A-MR1_1pctCO2_r1i1p1f1_gr_197501-199912.nc,50178165,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/IPSL/IPSL-CM6A-MR1/1pctCO2/r1i1p1f1/Amon/rlut/gr/v20231229/rlut_Amon_IPSL-CM6A-MR1_1pctCO2_r1i1p1f1_gr_197501-199912.nc|http://vesg.ipsl.upmc.fr/thredds/fileServer/cmip6/CMIP/IPSL/IPSL-CM6A-MR1/1pctCO2/r1i1p1f1/Amon/rlut/gr/v20231229/rlut_Amon_IPSL-CM6A-MR1_1pctCO2_r1i1p1f1_gr_197501-199912.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/IPSL/IPSL-CM6A-MR1/1pctCO2/r1i1p1f1/Amon/rlut/gr/v20231229/rlut_Amon_IPSL-CM6A-MR1_1pctCO2_r1i1p1f1_gr_197501-199912.nc|http://vesg.ipsl.upmc.fr/thredds/dodsC/cmip6/CMIP/IPSL/IPSL-CM6A-MR1/1pctCO2/r1i1p1f1/Amon/rlut/gr/v20231229/rlut_Amon_IPSL-CM6A-MR1_1pctCO2_r1i1p1f1_gr_197501-199912.nc
IPSL-CM6A-MR1,CMIP,1pctCO2,r1i1p1f1,rsdt,gr,1/6,rsdt_Amon_IPSL-CM6A-MR1_1pctCO2_r1i1p1f1_gr_185001-187412.nc,32210967,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/IPSL/IPSL-CM6A-MR1/1pctCO2/r1i1p1f1/Amon/rsdt/gr/v20231229/rsdt_Amon_IPSL-CM6A-MR1_1pctCO2_r1i1p1f1_gr_185001-187412.nc|http://vesg.ipsl.upmc.fr/thredds/fileServer/cmip6/CMIP/IPSL/IPSL-CM6A-MR1/1pctCO2/r1i1p1f1/Amon/rsdt/gr/v20231229/rsdt_Amon_IPSL-CM6A-MR1_1pctCO2_r1i1p1f1_gr_185001-187412.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/IPSL/IPSL-CM6A-MR1/1pctCO2/r1i1p1f1/Amon/rsdt/gr/v20231229/rsdt_Amon_IPSL-CM6A-MR1_1pctCO2_r1i1p1f1_gr_185001-187412.nc|http://vesg.ipsl.upmc.fr/thredds/dodsC/cmip6/CMIP/IPSL/IPSL-CM6A-MR1/1pctCO2/r1i1p1f1/Amon/rsdt/gr/v20231229/rsdt_Amon_IPSL-CM6A-MR1_1pctCO2_r1i1p1f1_gr_185001-187412.nc
IPSL-CM6A-MR1,CMIP,1pctCO2,r1i1p1f1,rsdt,gr,2/6,rsdt_Amon_IPSL-CM6A-MR1_1pctCO2_r1i1p1f1_gr_187501-189912.nc,32210967,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/IPSL/IPSL-CM6A-MR1/1pctCO2/r1i1p1f1/Amon/rsdt/gr/v20231229/rsdt_Amon_IPSL-CM6A-MR1_1pctCO2_r1i1p1f1_gr_187501-189912.nc|http://vesg.ipsl.upmc.fr/thredds/fileServer/cmip6/CMIP/IPSL/IPSL-CM6A-MR1/1pctCO2/r1i1p1f1/Amon/rsdt/gr/v20231229/rsdt_Amon_IPSL-CM6A-MR1_1pctCO2_r1i1p1f1_gr_187501-189912.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/IPSL/IPSL-CM6A-MR1/1pctCO2/r1i1p1f1/Amon/rsdt/gr/v20231229/rsdt_Amon_IPSL-CM6A-MR1_1pctCO2_r1i1p1f1_gr_187501-189912.nc|http://vesg.ipsl.upmc.fr/thredds/dodsC/cmip6/CMIP/IPSL/IPSL-CM6A-MR1/1pctCO2/r1i1p1f1/Amon/rsdt/gr/v20231229/rsdt_Amon_IPSL-CM6A-MR1_1pctCO2_r1i1p1f1_gr_187501-189912.nc
IPSL-CM6A-MR1,CMIP,1pctCO2,r1i1p1f1,rsdt,gr,3/6,rsdt_Amon_IPSL-CM6A-MR1_1pctCO2_r1i1p1f1_gr_190001-192412.nc,32210967,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/IPSL/IPSL-CM6A-MR1/1pctCO2/r1i1p1f1/Amon/rsdt/gr/v20231229/rsdt_Amon_IPSL-CM6A-MR1_1pctCO2_r1i1p1f1_gr_190001-192412.nc|http://vesg.ipsl.upmc.fr/thredds/fileServer/cmip6/CMIP/IPSL/IPSL-CM6A-MR1/1pctCO2/r1i1p1f1/Amon/rsdt/gr/v20231229/rsdt_Amon_IPSL-CM6A-MR1_1pctCO2_r1i1p1f1_gr_190001-192412.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/IPSL/IPSL-CM6A-MR1/1pctCO2/r1i1p1f1/Amon/rsdt/gr/v20231229/rsdt_Amon_IPSL-CM6A-MR1_1pctCO2_r1i1p1f1_gr_190001-192412.nc|http://vesg.ipsl.upmc.fr/thredds/dodsC/cmip6/CMIP/IPSL/IPSL-CM6A-MR1/1pctCO2/r1i1p1f1/Amon/rsdt/gr/v20231229/rsdt_Amon_IPSL-CM6A-MR1_1pctCO2_r1i1p1f1_gr_190001-192412.nc
