source_id,activity_id,experiment_id,variant_label,variable,grid_label,filenum,filename,filesize,download_url,opendap_url
KIOST-ESM,CMIP,1pctCO2,r1i1p1f1,rlut,gr1,1/1,rlut_Amon_KIOST-ESM_1pctCO2_r1i1p1f1_gr1_185001-200012.nc,133650540,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/1pctCO2/r1i1p1f1/Amon/rlut/gr1/v20191106/rlut_Amon_KIOST-ESM_1pctCO2_r1i1p1f1_gr1_185001-200012.nc|http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/KIOST/KIOST-ESM/1pctCO2/r1i1p1f1/Amon/rlut/gr1/v20210601/rlut_Amon_KIOST-ESM_1pctCO2_r1i1p1f1_gr1_185001-200012.nc|http://polaris.pknu.ac.kr/thredds/fileServer/cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/1pctCO2/r1i1p1f1/Amon/rlut/gr1/v20210601/rlut_Amon_KIOST-ESM_1pctCO2_r1i1p1f1_gr1_185001-200012.nc|https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/KIOST/KIOST-ESM/1pctCO2/r1i1p1f1/Amon/rlut/gr1/v20210601/rlut_Amon_KIOST-ESM_1pctCO2_r1i1p1f1_gr1_185001-200012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/1pctCO2/r1i1p1f1/Amon/rlut/gr1/v20191106/rlut_Amon_KIOST-ESM_1pctCO2_r1i1p1f1_gr1_185001-200012.nc|http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/KIOST/KIOST-ESM/1pctCO2/r1i1p1f1/Amon/rlut/gr1/v20210601/rlut_Amon_KIOST-ESM_1pctCO2_r1i1p1f1_gr1_185001-200012.nc|http://polaris.pknu.ac.kr/thredds/dodsC/cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/1pctCO2/r1i1p1f1/Amon/rlut/gr1/v20210601/rlut_Amon_KIOST-ESM_1pctCO2_r1i1p1f1_gr1_185001-200012.nc|https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/KIOST/KIOST-ESM/1pctCO2/r1i1p1f1/Amon/rlut/gr1/v20210601/rlut_Amon_KIOST-ESM_1pctCO2_r1i1p1f1_gr1_185001-200012.nc
KIOST-ESM,CMIP,1pctCO2,r1i1p1f1,rsdt,gr1,1/1,rsdt_Amon_KIOST-ESM_1pctCO2_r1i1p1f1_gr1_185001-200012.nc,133650524,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/1pctCO2/r1i1p1f1/Amon/rsdt/gr1/v20201016/rsdt_Amon_KIOST-ESM_1pctCO2_r1i1p1f1_gr1_185001-200012.nc|http://esgf.nci.org.au/thredds/fileServer/replica/CMIP6/CMIP/KIOST/KIOST-ESM/1pctCO2/r1i1p1f1/Amon/rsdt/gr1/v20201016/rsdt_Amon_KIOST-ESM_1pctCO2_r1i1p1f1_gr1_185001-200012.nc|http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/KIOST/KIOST-ESM/1pctCO2/r1i1p1f1/Amon/rsdt/gr1/v20210601/rsdt_Amon_KIOST-ESM_1pctCO2_r1i1p1f1_gr1_185001-200012.nc|http://polaris.pknu.ac.kr/thredds/fileServer/cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/1pctCO2/r1i1p1f1/Amon/rsdt/gr1/v20210601/rsdt_Amon_KIOST-ESM_1pctCO2_r1i1p1f1_gr1_185001-200012.nc|https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/KIOST/KIOST-ESM/1pctCO2/r1i1p1f1/Amon/rsdt/gr1/v20210601/rsdt_Amon_KIOST-ESM_1pctCO2_r1i1p1f1_gr1_185001-200012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/1pctCO2/r1i1p1f1/Amon/rsdt/gr1/v20201016/rsdt_Amon_KIOST-ESM_1pctCO2_r1i1p1f1_gr1_185001-200012.nc|http://esgf.nci.org.au/thredds/dodsC/replica/CMIP6/CMIP/KIOST/KIOST-ESM/1pctCO2/r1i1p1f1/Amon/rsdt/gr1/v20201016/rsdt_Amon_KIOST-ESM_1pctCO2_r1i1p1f1_gr1_185001-200012.nc|http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/KIOST/KIOST-ESM/1pctCO2/r1i1p1f1/Amon/rsdt/gr1/v20210601/rsdt_Amon_KIOST-ESM_1pctCO2_r1i1p1f1_gr1_185001-200012.nc|http://polaris.pknu.ac.kr/thredds/dodsC/cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/1pctCO2/r1i1p1f1/Amon/rsdt/gr1/v20210601/rsdt_Amon_KIOST-ESM_1pctCO2_r1i1p1f1_gr1_185001-200012.nc|https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/KIOST/KIOST-ESM/1pctCO2/r1i1p1f1/Amon/rsdt/gr1/v20210601/rsdt_Amon_KIOST-ESM_1pctCO2_r1i1p1f1_gr1_185001-200012.nc
KIOST-ESM,CMIP,1pctCO2,r1i1p1f1,rsut,gr1,1/1,rsut_Amon_KIOST-ESM_1pctCO2_r1i1p1f1_gr1_185001-200012.nc,133650492,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/1pctCO2/r1i1p1f1/Amon/rsut/gr1/v20201016/rsut_Amon_KIOST-ESM_1pctCO2_r1i1p1f1_gr1_185001-200012.nc|http://esgf.nci.org.au/thredds/fileServer/replica/CMIP6/CMIP/KIOST/KIOST-ESM/1pctCO2/r1i1p1f1/Amon/rsut/gr1/v20201016/rsut_Amon_KIOST-ESM_1pctCO2_r1i1p1f1_gr1_185001-200012.nc|http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/KIOST/KIOST-ESM/1pctCO2/r1i1p1f1/Amon/rsut/gr1/v20210601/rsut_Amon_KIOST-ESM_1pctCO2_r1i1p1f1_gr1_185001-200012.nc|http://polaris.pknu.ac.kr/thredds/fileServer/cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/1pctCO2/r1i1p1f1/Amon/rsut/gr1/v20210601/rsut_Amon_KIOST-ESM_1pctCO2_r1i1p1f1_gr1_185001-200012.nc|https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/KIOST/KIOST-ESM/1pctCO2/r1i1p1f1/Amon/rsut/gr1/v20210601/rsut_Amon_KIOST-ESM_1pctCO2_r1i1p1f1_gr1_185001-200012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/1pctCO2/r1i1p1f1/Amon/rsut/gr1/v20201016/rsut_Amon_KIOST-ESM_1pctCO2_r1i1p1f1_gr1_185001-200012.nc|http://esgf.nci.org.au/thredds/dodsC/replica/CMIP6/CMIP/KIOST/KIOST-ESM/1pctCO2/r1i1p1f1/Amon/rsut/gr1/v20201016/rsut_Amon_KIOST-ESM_1pctCO2_r1i1p1f1_gr1_185001-200012.nc|http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/KIOST/KIOST-ESM/1pctCO2/r1i1p1f1/Amon/rsut/gr1/v20210601/rsut_Amon_KIOST-ESM_1pctCO2_r1i1p1f1_gr1_185001-200012.nc|http://polaris.pknu.ac.kr/thredds/dodsC/cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/1pctCO2/r1i1p1f1/Amon/rsut/gr1/v20210601/rsut_Amon_KIOST-ESM_1pctCO2_r1i1p1f1_gr1_185001-200012.nc|https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/KIOST/KIOST-ESM/1pctCO2/r1i1p1f1/Amon/rsut/gr1/v20210601/rsut_Amon_KIOST-ESM_1pctCO2_r1i1p1f1_gr1_185001-200012.nc
KIOST-ESM,CMIP,1pctCO2,r1i1p1f1,tas,gr1,1/1,tas_Amon_KIOST-ESM_1pctCO2_r1i1p1f1_gr1_185001-200012.nc,133650724,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/1pctCO2/r1i1p1f1/Amon/tas/gr1/v20191106/tas_Amon_KIOST-ESM_1pctCO2_r1i1p1f1_gr1_185001-200012.nc|http://esgf.nci.org.au/thredds/fileServer/replica/CMIP6/CMIP/KIOST/KIOST-ESM/1pctCO2/r1i1p1f1/Amon/tas/gr1/v20191106/tas_Amon_KIOST-ESM_1pctCO2_r1i1p1f1_gr1_185001-200012.nc|http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/KIOST/KIOST-ESM/1pctCO2/r1i1p1f1/Amon/tas/gr1/v20210601/tas_Amon_KIOST-ESM_1pctCO2_r1i1p1f1_gr1_185001-200012.nc|http://polaris.pknu.ac.kr/thredds/fileServer/cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/1pctCO2/r1i1p1f1/Amon/tas/gr1/v20210601/tas_Amon_KIOST-ESM_1pctCO2_r1i1p1f1_gr1_185001-200012.nc|https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/KIOST/KIOST-ESM/1pctCO2/r1i1p1f1/Amon/tas/gr1/v20210601/tas_Amon_KIOST-ESM_1pctCO2_r1i1p1f1_gr1_185001-200012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/1pctCO2/r1i1p1f1/Amon/tas/gr1/v20191106/tas_Amon_KIOST-ESM_1pctCO2_r1i1p1f1_gr1_185001-200012.nc|http://esgf.nci.org.au/thredds/dodsC/replica/CMIP6/CMIP/KIOST/KIOST-ESM/1pctCO2/r1i1p1f1/Amon/tas/gr1/v20191106/tas_Amon_KIOST-ESM_1pctCO2_r1i1p1f1_gr1_185001-200012.nc|http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/KIOST/KIOST-ESM/1pctCO2/r1i1p1f1/Amon/tas/gr1/v20210601/tas_Amon_KIOST-ESM_1pctCO2_r1i1p1f1_gr1_185001-200012.nc|http://polaris.pknu.ac.kr/thredds/dodsC/cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/1pctCO2/r1i1p1f1/Amon/tas/gr1/v20210601/tas_Amon_KIOST-ESM_1pctCO2_r1i1p1f1_gr1_185001-200012.nc|https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/KIOST/KIOST-ESM/1pctCO2/r1i1p1f1/Amon/tas/gr1/v20210601/tas_Amon_KIOST-ESM_1pctCO2_r1i1p1f1_gr1_185001-200012.nc
KIOST-ESM,CMIP,abrupt-4xCO2,r1i1p1f1,rlut,gr1,1/1,rlut_Amon_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_185001-200012.nc,133650596,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/abrupt-4xCO2/r1i1p1f1/Amon/rlut/gr1/v20191106/rlut_Amon_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_185001-200012.nc|http://esgf.nci.org.au/thredds/fileServer/replica/CMIP6/CMIP/KIOST/KIOST-ESM/abrupt-4xCO2/r1i1p1f1/Amon/rlut/gr1/v20191106/rlut_Amon_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_185001-200012.nc|http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/KIOST/KIOST-ESM/abrupt-4xCO2/r1i1p1f1/Amon/rlut/gr1/v20210601/rlut_Amon_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_185001-200012.nc|https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/KIOST/KIOST-ESM/abrupt-4xCO2/r1i1p1f1/Amon/rlut/gr1/v20210601/rlut_Amon_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_185001-200012.nc|http://polaris.pknu.ac.kr/thredds/fileServer/cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/abrupt-4xCO2/r1i1p1f1/Amon/rlut/gr1/v20210601/rlut_Amon_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_185001-200012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/abrupt-4xCO2/r1i1p1f1/Amon/rlut/gr1/v20191106/rlut_Amon_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_185001-200012.nc|http://esgf.nci.org.au/thredds/dodsC/replica/CMIP6/CMIP/KIOST/KIOST-ESM/abrupt-4xCO2/r1i1p1f1/Amon/rlut/gr1/v20191106/rlut_Amon_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_185001-200012.nc|http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/KIOST/KIOST-ESM/abrupt-4xCO2/r1i1p1f1/Amon/rlut/gr1/v20210601/rlut_Amon_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_185001-200012.nc|https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/KIOST/KIOST-ESM/abrupt-4xCO2/r1i1p1f1/Amon/rlut/gr1/v20210601/rlut_Amon_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_185001-200012.nc|http://polaris.pknu.ac.kr/thredds/dodsC/cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/abrupt-4xCO2/r1i1p1f1/Amon/rlut/gr1/v20210601/rlut_Amon_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_185001-200012.nc
KIOST-ESM,CMIP,abrupt-4xCO2,r1i1p1f1,rsdt,gr1,1/1,rsdt_Amon_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_185001-200012.nc,133650580,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/abrupt-4xCO2/r1i1p1f1/Amon/rsdt/gr1/v20201016/rsdt_Amon_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_185001-200012.nc|http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/KIOST/KIOST-ESM/abrupt-4xCO2/r1i1p1f1/Amon/rsdt/gr1/v20210601/rsdt_Amon_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_185001-200012.nc|https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/KIOST/KIOST-ESM/abrupt-4xCO2/r1i1p1f1/Amon/rsdt/gr1/v20210601/rsdt_Amon_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_185001-200012.nc|http://polaris.pknu.ac.kr/thredds/fileServer/cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/abrupt-4xCO2/r1i1p1f1/Amon/rsdt/gr1/v20210601/rsdt_Amon_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_185001-200012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/abrupt-4xCO2/r1i1p1f1/Amon/rsdt/gr1/v20201016/rsdt_Amon_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_185001-200012.nc|http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/KIOST/KIOST-ESM/abrupt-4xCO2/r1i1p1f1/Amon/rsdt/gr1/v20210601/rsdt_Amon_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_185001-200012.nc|https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/KIOST/KIOST-ESM/abrupt-4xCO2/r1i1p1f1/Amon/rsdt/gr1/v20210601/rsdt_Amon_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_185001-200012.nc|http://polaris.pknu.ac.kr/thredds/dodsC/cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/abrupt-4xCO2/r1i1p1f1/Amon/rsdt/gr1/v20210601/rsdt_Amon_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_185001-200012.nc
KIOST-ESM,CMIP,abrupt-4xCO2,r1i1p1f1,rsut,gr1,1/1,rsut_Amon_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_185001-200012.nc,133650548,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/abrupt-4xCO2/r1i1p1f1/Amon/rsut/gr1/v20201016/rsut_Amon_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_185001-200012.nc|http://esgf.nci.org.au/thredds/fileServer/replica/CMIP6/CMIP/KIOST/KIOST-ESM/abrupt-4xCO2/r1i1p1f1/Amon/rsut/gr1/v20201016/rsut_Amon_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_185001-200012.nc|http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/KIOST/KIOST-ESM/abrupt-4xCO2/r1i1p1f1/Amon/rsut/gr1/v20210601/rsut_Amon_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_185001-200012.nc|https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/KIOST/KIOST-ESM/abrupt-4xCO2/r1i1p1f1/Amon/rsut/gr1/v20210601/rsut_Amon_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_185001-200012.nc|http://polaris.pknu.ac.kr/thredds/fileServer/cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/abrupt-4xCO2/r1i1p1f1/Amon/rsut/gr1/v20210601/rsut_Amon_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_185001-200012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/abrupt-4xCO2/r1i1p1f1/Amon/rsut/gr1/v20201016/rsut_Amon_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_185001-200012.nc|http://esgf.nci.org.au/thredds/dodsC/replica/CMIP6/CMIP/KIOST/KIOST-ESM/abrupt-4xCO2/r1i1p1f1/Amon/rsut/gr1/v20201016/rsut_Amon_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_185001-200012.nc|http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/KIOST/KIOST-ESM/abrupt-4xCO2/r1i1p1f1/Amon/rsut/gr1/v20210601/rsut_Amon_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_185001-200012.nc|https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/KIOST/KIOST-ESM/abrupt-4xCO2/r1i1p1f1/Amon/rsut/gr1/v20210601/rsut_Amon_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_185001-200012.nc|http://polaris.pknu.ac.kr/thredds/dodsC/cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/abrupt-4xCO2/r1i1p1f1/Amon/rsut/gr1/v20210601/rsut_Amon_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_185001-200012.nc
KIOST-ESM,CMIP,abrupt-4xCO2,r1i1p1f1,tas,gr1,1/1,tas_Amon_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_185001-200012.nc,133650752,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/KIOST/KIOST-ESM/abrupt-4xCO2/r1i1p1f1/Amon/tas/gr1/v20210601/tas_Amon_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_185001-200012.nc|http://polaris.pknu.ac.kr/thredds/fileServer/cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/abrupt-4xCO2/r1i1p1f1/Amon/tas/gr1/v20210601/tas_Amon_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_185001-200012.nc|https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/KIOST/KIOST-ESM/abrupt-4xCO2/r1i1p1f1/Amon/tas/gr1/v20210601/tas_Amon_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_185001-200012.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/KIOST/KIOST-ESM/abrupt-4xCO2/r1i1p1f1/Amon/tas/gr1/v20210601/tas_Amon_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_185001-200012.nc|http://polaris.pknu.ac.kr/thredds/dodsC/cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/abrupt-4xCO2/r1i1p1f1/Amon/tas/gr1/v20210601/tas_Amon_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_185001-200012.nc|https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/KIOST/KIOST-ESM/abrupt-4xCO2/r1i1p1f1/Amon/tas/gr1/v20210601/tas_Amon_KIOST-ESM_abrupt-4xCO2_r1i1p1f1_gr1_185001-200012.nc
KIOST-ESM,CMIP,historical,r1i1p1f1,rlut,gr1,1/1,rlut_Amon_KIOST-ESM_historical_r1i1p1f1_gr1_185001-201412.nc,146040900,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/historical/r1i1p1f1/Amon/rlut/gr1/v20191106/rlut_Amon_KIOST-ESM_historical_r1i1p1f1_gr1_185001-201412.nc|http://esgf.nci.org.au/thredds/fileServer/replica/CMIP6/CMIP/KIOST/KIOST-ESM/historical/r1i1p1f1/Amon/rlut/gr1/v20191106/rlut_Amon_KIOST-ESM_historical_r1i1p1f1_gr1_185001-201412.nc|http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/KIOST/KIOST-ESM/historical/r1i1p1f1/Amon/rlut/gr1/v20210601/rlut_Amon_KIOST-ESM_historical_r1i1p1f1_gr1_185001-201412.nc|https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/KIOST/KIOST-ESM/historical/r1i1p1f1/Amon/rlut/gr1/v20210601/rlut_Amon_KIOST-ESM_historical_r1i1p1f1_gr1_185001-201412.nc|http://polaris.pknu.ac.kr/thredds/fileServer/cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/historical/r1i1p1f1/Amon/rlut/gr1/v20210601/rlut_Amon_KIOST-ESM_historical_r1i1p1f1_gr1_185001-201412.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/historical/r1i1p1f1/Amon/rlut/gr1/v20191106/rlut_Amon_KIOST-ESM_historical_r1i1p1f1_gr1_185001-201412.nc|http://esgf.nci.org.au/thredds/dodsC/replica/CMIP6/CMIP/KIOST/KIOST-ESM/historical/r1i1p1f1/Amon/rlut/gr1/v20191106/rlut_Amon_KIOST-ESM_historical_r1i1p1f1_gr1_185001-201412.nc|http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/KIOST/KIOST-ESM/historical/r1i1p1f1/Amon/rlut/gr1/v20210601/rlut_Amon_KIOST-ESM_historical_r1i1p1f1_gr1_185001-201412.nc|https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/KIOST/KIOST-ESM/historical/r1i1p1f1/Amon/rlut/gr1/v20210601/rlut_Amon_KIOST-ESM_historical_r1i1p1f1_gr1_185001-201412.nc|http://polaris.pknu.ac.kr/thredds/dodsC/cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/historical/r1i1p1f1/Amon/rlut/gr1/v20210601/rlut_Amon_KIOST-ESM_historical_r1i1p1f1_gr1_185001-201412.nc
KIOST-ESM,CMIP,historical,r1i1p1f1,rsdt,gr1,1/1,rsdt_Amon_KIOST-ESM_historical_r1i1p1f1_gr1_185001-201412.nc,146040884,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/KIOST/KIOST-ESM/historical/r1i1p1f1/Amon/rsdt/gr1/v20210601/rsdt_Amon_KIOST-ESM_historical_r1i1p1f1_gr1_185001-201412.nc|https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/KIOST/KIOST-ESM/historical/r1i1p1f1/Amon/rsdt/gr1/v20210601/rsdt_Amon_KIOST-ESM_historical_r1i1p1f1_gr1_185001-201412.nc|http://polaris.pknu.ac.kr/thredds/fileServer/cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/historical/r1i1p1f1/Amon/rsdt/gr1/v20210601/rsdt_Amon_KIOST-ESM_historical_r1i1p1f1_gr1_185001-201412.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/KIOST/KIOST-ESM/historical/r1i1p1f1/Amon/rsdt/gr1/v20210601/rsdt_Amon_KIOST-ESM_historical_r1i1p1f1_gr1_185001-201412.nc|https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/KIOST/KIOST-ESM/historical/r1i1p1f1/Amon/rsdt/gr1/v20210601/rsdt_Amon_KIOST-ESM_historical_r1i1p1f1_gr1_185001-201412.nc|http://polaris.pknu.ac.kr/thredds/dodsC/cmip6/CMIP6/CMIP/KIOST/KIOST-ESM/historical/r1i1p1f1/Amon/rsdt/gr1/v20210601/rsdt_Amon_KIOST-ESM_historical_r1i1p1f1_gr1_185001-201412.nc
